dataset,k,m,positive_events,negative_events,units_with_positive,units_with_negative,positive_rate_per_100_cycles,negative_rate_per_100_cycles
MATR,2.0,2,203,293,87,98,0.18253754158798668,0.263465515691035
MATR,2.0,3,141,155,70,85,0.12678715942810898,0.13937595539969427
MATR,2.5,2,124,179,62,79,0.11150076431975542,0.16095674849384048
MATR,2.5,3,64,91,39,58,0.05754878158438989,0.08182717381530438
MATR,3.0,2,56,111,37,57,0.05035518388634115,0.09981116806042623
MATR,3.0,3,27,59,19,40,0.024278392230914485,0.05305278302310943
MATR,3.5,2,33,64,22,36,0.029673590504451036,0.05754878158438989
MATR,3.5,3,11,31,9,22,0.009891196834817012,0.027875191079938855
MATR,4.0,2,8,51,6,26,0.007193597698048736,0.0458591853250607
MATR,4.0,3,4,23,4,17,0.003596798849024368,0.02068159338189012
HUST,2.0,2,115,433,52,57,0.07907203806459154,0.2977234128866795
HUST,2.0,3,54,320,39,54,0.03712947874337342,0.22002654070147212
HUST,2.5,2,78,196,52,27,0.05363146929598382,0.13476625617965168
HUST,2.5,3,45,144,35,23,0.030941232286144517,0.09901194331566246
HUST,3.0,2,77,82,47,21,0.05294388635629173,0.056381801054752226
HUST,3.0,3,49,60,31,19,0.03369156404491292,0.041254976381526025
HUST,3.5,2,64,39,45,14,0.04400530814029442,0.02681573464799191
HUST,3.5,3,45,33,35,11,0.030941232286144517,0.022690237009839312
HUST,4.0,2,68,23,43,11,0.046755639899062826,0.01581440761291831
HUST,4.0,3,49,17,34,9,0.03369156404491292,0.011688909974765706
NASA_PCoE,2.0,2,35,8,19,6,1.7106549364613879,0.39100684261974583
NASA_PCoE,2.0,3,15,5,12,5,0.7331378299120235,0.24437927663734116
NASA_PCoE,2.5,2,21,3,16,3,1.0263929618768328,0.1466275659824047
NASA_PCoE,2.5,3,7,2,7,2,0.3421309872922776,0.09775171065493646
NASA_PCoE,3.0,2,12,2,11,2,0.5865102639296188,0.09775171065493646
NASA_PCoE,3.0,3,4,2,4,2,0.19550342130987292,0.09775171065493646
NASA_PCoE,3.5,2,6,2,6,2,0.2932551319648094,0.09775171065493646
NASA_PCoE,3.5,3,2,2,2,2,0.09775171065493646,0.09775171065493646
NASA_PCoE,4.0,2,4,2,4,2,0.19550342130987292,0.09775171065493646
NASA_PCoE,4.0,3,2,2,2,2,0.09775171065493646,0.09775171065493646
