dataset,definition,rho,units_audited,excluded_by_guard,reach_threshold,fraction_reach
MATR,r2,0.7,135,0,0,0.0
MATR,r2,0.75,135,0,43,0.31851851851851853
MATR,r2,0.8,135,0,128,0.9481481481481482
MATR,r2,0.85,135,0,131,0.9703703703703703
MATR,r2,0.9,135,0,135,1.0
MATR,r1,0.7,135,0,0,0.0
MATR,r1,0.75,135,0,0,0.0
MATR,r1,0.8,135,0,46,0.34074074074074073
MATR,r1,0.85,135,0,130,0.9629629629629629
MATR,r1,0.9,135,0,135,1.0
HUST,r2,0.7,77,0,0,0.0
HUST,r2,0.75,77,0,0,0.0
HUST,r2,0.8,77,0,77,1.0
HUST,r2,0.85,77,0,77,1.0
HUST,r2,0.9,77,0,77,1.0
HUST,r1,0.7,77,0,0,0.0
HUST,r1,0.75,77,0,75,0.974025974025974
HUST,r1,0.8,77,0,77,1.0
HUST,r1,0.85,77,0,77,1.0
HUST,r1,0.9,77,0,77,1.0
NASA_PCoE,r2,0.7,32,7,15,0.46875
NASA_PCoE,r2,0.75,32,11,11,0.34375
NASA_PCoE,r2,0.8,32,14,11,0.34375
NASA_PCoE,r2,0.85,32,19,9,0.28125
NASA_PCoE,r2,0.9,32,31,1,0.03125
NASA_PCoE,r1,0.7,32,0,11,0.34375
NASA_PCoE,r1,0.75,32,0,16,0.5
NASA_PCoE,r1,0.8,32,0,19,0.59375
NASA_PCoE,r1,0.85,32,0,20,0.625
NASA_PCoE,r1,0.9,32,0,24,0.75
