dataset,sign,start,end,extremum,amplitude,duration,cell_id
MATR,-1,255,256,255,-0.016119456992088575,2,MATR_b1c0
MATR,-1,387,390,389,-0.021723705975513062,4,MATR_b1c0
MATR,-1,405,406,406,-0.019335865984516656,2,MATR_b1c0
MATR,-1,524,526,525,-0.025054547404319786,3,MATR_b1c0
MATR,-1,545,548,547,-0.01903406899851365,4,MATR_b1c0
MATR,-1,559,560,559,-0.013315836163225177,2,MATR_b1c0
MATR,-1,576,577,576,-0.02780549346482027,2,MATR_b1c0
MATR,-1,595,596,595,-0.01080338300443777,2,MATR_b1c0
MATR,-1,607,610,609,-0.04267944247644904,4,MATR_b1c0
MATR,-1,636,637,637,-0.029285909522695934,2,MATR_b1c0
MATR,-1,647,648,648,-0.018733486274269698,2,MATR_b1c0
MATR,-1,653,655,655,-0.017285914467751556,3,MATR_b1c0
MATR,-1,661,663,662,-0.017084554805938304,3,MATR_b1c0
MATR,-1,703,704,703,-0.027924358558505592,2,MATR_b1c0
MATR,-1,707,709,708,-0.022662544782712162,3,MATR_b1c0
MATR,-1,746,747,746,-0.026389278205433093,2,MATR_b1c0
MATR,-1,751,752,752,-0.016277178036022744,2,MATR_b1c0
MATR,-1,755,756,755,-0.028442003377098082,2,MATR_b1c0
MATR,-1,768,769,768,-0.03842448686253204,2,MATR_b1c0
MATR,-1,781,782,782,-0.009693849634400266,2,MATR_b1c0
MATR,-1,792,794,793,-0.026988425864610047,3,MATR_b1c0
MATR,-1,818,819,818,-0.0157468868878803,2,MATR_b1c0
MATR,-1,829,830,830,-0.030672610195560727,2,MATR_b1c0
MATR,-1,845,846,846,-0.027404910775881683,2,MATR_b1c0
MATR,-1,1846,1849,1849,-0.008384398918567211,4,MATR_b1c0
MATR,-1,1245,1246,1246,-0.0044751004747715095,2,MATR_b1c1
MATR,-1,1255,1256,1255,-0.004275624604727963,2,MATR_b1c1
MATR,-1,1258,1260,1258,-0.004204064799268253,3,MATR_b1c1
MATR,-1,1263,1264,1263,-0.004901645367454394,2,MATR_b1c1
MATR,-1,1266,1267,1266,-0.0038592087117663557,2,MATR_b1c1
MATR,1,1561,1564,1564,0.004167942235669864,4,MATR_b1c1
MATR,1,1571,1572,1571,0.004051926078081529,2,MATR_b1c1
MATR,1,1575,1577,1577,0.004712329891607908,3,MATR_b1c1
MATR,1,1584,1594,1593,0.004930150246437188,11,MATR_b1c1
MATR,1,1596,1598,1598,0.004213950128479946,3,MATR_b1c1
MATR,1,1604,1606,1605,0.004375734502519832,3,MATR_b1c1
MATR,1,1609,1610,1609,0.0038937513346644376,2,MATR_b1c1
MATR,1,1614,1615,1615,0.0040469221247502185,2,MATR_b1c1
MATR,-1,2141,2142,2142,-0.004425972228915803,2,MATR_b1c1
MATR,-1,20,28,20,-0.0028002098587426023,9,MATR_b1c10
MATR,1,352,353,353,0.001997038668870114,2,MATR_b1c10
MATR,-1,505,507,505,-0.003562322753864877,3,MATR_b1c10
MATR,1,901,904,904,0.002129900693365806,4,MATR_b1c10
MATR,-1,504,505,505,-0.003928303997160027,2,MATR_b1c11
MATR,-1,507,509,507,-0.002084688229418599,3,MATR_b1c11
MATR,-1,511,512,511,-0.0020494833490791475,2,MATR_b1c11
MATR,1,625,626,626,0.0019549330229991784,2,MATR_b1c11
MATR,1,628,629,629,0.0022125402646076832,2,MATR_b1c11
MATR,1,632,637,637,0.0023305043617906657,6,MATR_b1c11
MATR,-1,689,690,690,-0.001996159620531808,2,MATR_b1c11
MATR,-1,714,716,716,-0.0020720424928906394,3,MATR_b1c11
MATR,-1,20,28,20,-0.002118203889453555,9,MATR_b1c12
MATR,1,346,350,349,0.0018578401029670107,5,MATR_b1c12
