cell_id,dataset,n_stored,n_kept,n_dropped_by_cleaning,too_short,q1,q1_first,q1_material_diff,denominator,excluded_by_guard,T,q1_k1,q1_k10,q1_k20,q1_k50,T_r2_rho0.70,guard_r2_rho0.70,T_r1_rho0.70,guard_r1_rho0.70,T_r2_rho0.75,guard_r2_rho0.75,T_r1_rho0.75,guard_r1_rho0.75,T_r2_rho0.80,guard_r2_rho0.80,T_r1_rho0.80,guard_r1_rho0.80,T_r2_rho0.85,guard_r2_rho0.85,T_r1_rho0.85,guard_r1_rho0.85,T_r2_rho0.90,guard_r2_rho0.90,T_r1_rho0.90,guard_r1_rho0.90,t1,T_from_record_end,fit_start,fit_end,monotone_violation_Ah,monotone_within_tol,rmse_power_law,rmse_two_term_exponential,rmse_rollover,best_family_in_sample,n_pos_k2.0_m2,n_neg_k2.0_m2,n_pos_k2.0_m3,n_neg_k2.0_m3,n_pos_k2.5_m2,n_neg_k2.5_m2,n_pos_k2.5_m3,n_neg_k2.5_m3,n_pos_k3.0_m2,n_neg_k3.0_m2,n_pos_k3.0_m3,n_neg_k3.0_m3,n_pos_k3.5_m2,n_neg_k3.5_m2,n_pos_k3.5_m3,n_neg_k3.5_m3,n_pos_k4.0_m2,n_neg_k4.0_m2,n_pos_k4.0_m3,n_neg_k4.0_m3,residual_scale_Ah
MATR_b1c0,MATR,1850,1849,1,False,1.0767031853146891,1.070780724475524,False,0.196703185314689,False,1849.0,1.070780724475524,1.0746355710955746,1.0767031853146891,1.0769068708624745,,False,,False,,False,,False,1849.0,False,,False,1679.0,False,1764.0,False,1392.0,False,1530.0,False,20.0,True,20.0,1849.0,0.023997910023310087,False,0.006463979010699454,0.005336411458229346,0.004571517908988584,rollover,0.0,30.0,0.0,12.0,0.0,25.0,0.0,9.0,0.0,17.0,0.0,7.0,0.0,15.0,0.0,6.0,0.0,15.0,0.0,3.0,0.002809153791498259
MATR_b1c1,MATR,2158,2158,0,False,1.082415053379957,1.0761058349650348,False,0.2024150533799569,False,2158.0,1.0761058349650348,1.0812708568764604,1.082415053379957,1.082415053379957,,False,,False,,False,,False,2158.0,False,,False,1994.0,False,2066.0,False,1734.0,False,1852.0,False,14.0,True,14.0,2158.0,0.0063092184149222685,True,0.006155456484520186,0.0018342556998266152,0.0017633553693111215,rollover,1.0,3.0,1.0,0.0,8.0,6.0,5.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0014979082965629715
MATR_b1c10,MATR,904,904,0,False,1.0817832839160877,1.0759630258741262,False,0.20178328391608757,False,,1.0759630258741262,1.0799706846153883,1.0817832839160877,1.0826087181818218,,False,,False,,False,,False,,False,,False,,False,,False,851.0,False,890.0,False,20.0,False,20.0,904.0,0.00683768694639042,True,0.0031370968771011003,0.0007879382563950476,0.0007911579140160418,two_term_exponential,5.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007320360790745799
MATR_b1c11,MATR,786,786,0,False,1.0602274261072295,1.0546187083916083,False,0.18022742610722942,False,786.0,1.0546187083916083,1.0585088114219148,1.0602274261072295,1.0608376041958079,,False,,False,,False,,False,786.0,False,,False,727.0,False,771.0,False,656.0,False,708.0,False,20.0,True,20.0,786.0,0.006528015850819413,True,0.00301775067456804,0.002050724642715574,0.0009642354782908507,rollover,3.0,5.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0007208971708256339
MATR_b1c12,MATR,900,900,0,False,1.0821912965035,1.077824060839161,False,0.20219129650349998,False,,1.077824060839161,1.0813677286713324,1.0821912965035,1.0827925881118918,,False,,False,,False,,False,,False,,False,877.0,False,897.0,False,800.0,False,831.0,False,20.0,False,20.0,900.0,0.005363379953383429,True,0.0030626729553440884,0.0008859624139035227,0.0007576915176887312,rollover,3.0,10.0,3.0,6.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0006468286697963524
MATR_b1c13,MATR,895,895,0,False,1.0845483827505866,1.0801282853146852,False,0.2045483827505865,False,,1.0801282853146852,1.083839232400936,1.0845483827505866,1.084941211188815,,False,,False,,False,,False,,False,,False,882.0,False,895.0,False,816.0,False,839.0,False,20.0,False,20.0,895.0,0.005417631934735656,True,0.0038809619101432,0.0009242853664513036,0.0009247627949792515,two_term_exponential,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011225498813276676
MATR_b1c14,MATR,878,878,0,False,1.0757307463869499,1.0710733531468528,False,0.19573074638694976,False,878.0,1.0710733531468528,1.0751696114219151,1.0757307463869499,1.076693701631705,,False,,False,,False,,False,878.0,False,,False,813.0,False,845.0,False,735.0,False,772.0,False,20.0,True,20.0,878.0,0.006565865501169554,True,0.003589995150199117,0.0027228555915035273,0.0013571679266663741,rollover,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001369265960003272
MATR_b1c15,MATR,717,717,0,False,1.0672611046620082,1.0614584069930066,False,0.18726110466200807,False,717.0,1.0614584069930066,1.066543827505831,1.0672611046620082,1.0684608869463905,,False,,False,,False,,False,717.0,False,,False,668.0,False,700.0,False,613.0,False,648.0,False,20.0,True,20.0,717.0,0.007683305361309012,True,0.0038129858474513167,0.002409837313927279,0.0011910153997828341,rollover,3.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012143435284368133
MATR_b1c16,MATR,860,860,0,False,1.0861273305361343,1.081395756643357,False,0.2061273305361342,False,860.0,1.081395756643357,1.0857635219114257,1.0861273305361343,1.0870747881118918,,False,,False,,False,,False,860.0,False,,False,810.0,False,825.0,False,750.0,False,769.0,False,20.0,True,20.0,860.0,0.006865880885784215,True,0.004604505733417389,0.002293851574496196,0.0013039535357902883,rollover,4.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012011069534401974
MATR_b1c17,MATR,855,855,0,False,1.077031979254083,1.0723514405594405,False,0.1970319792540829,False,855.0,1.0723514405594405,1.075724991608395,1.077031979254083,1.0778170689976727,,False,,False,,False,,False,855.0,False,,False,799.0,False,825.0,False,733.0,False,764.0,False,20.0,True,20.0,855.0,0.00661925664336005,True,0.0033861584005702517,0.002246357148162147,0.0013157092688174646,rollover,4.0,6.0,4.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011825862869576168
MATR_b1c18,MATR,689,688,1,False,1.070131970396274,1.0661330188811189,False,0.19013197039627383,False,688.0,1.0661330188811189,1.0694067825174862,1.070131970396274,1.070131970396274,,False,,False,,False,,False,688.0,False,,False,639.0,False,664.0,False,574.0,False,617.0,False,19.0,True,19.0,688.0,0.003998951515155058,True,0.007940557147957095,0.0021424753043350034,0.0010161377613548204,rollover,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011617191113281187
MATR_b1c19,MATR,786,786,0,False,1.0891354750582787,1.0854258202797202,False,0.20913547505827856,False,786.0,1.0854258202797202,1.0885190221445258,1.0891354750582787,1.0891354750582787,,False,,False,,False,,False,786.0,False,,False,726.0,False,741.0,False,655.0,False,672.0,False,15.0,True,15.0,786.0,0.0037096547785584466,True,0.00401255193508148,0.0026774210169362806,0.0010224327954597087,rollover,5.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00112918077195424
MATR_b1c2,MATR,2235,2234,1,False,1.0860130920745956,1.0808158895104898,False,0.2060130920745955,False,2234.0,1.0808158895104898,1.0851069268065303,1.0860130920745956,1.0860130920745956,,False,,False,,False,,False,2234.0,False,,False,2097.0,False,2158.0,False,1803.0,False,1906.0,False,14.0,True,14.0,2234.0,0.005208505128208474,True,0.005930165021726982,0.00195953132617537,0.00195030568510042,rollover,3.0,10.0,0.0,7.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.002011800660911622
