name,expected,observed,passed,severity
MATR: estimated/declared split matches paper §3.3 (E1-E7 only under estimated_from_data),"['E1_theta_distribution', 'E2_family_choice', 'E3_channel_mappings', 'E4_channel_covariance', 'E5_noise', 'E6_patterns', 'E7_length_distribution']","['E1_theta_distribution', 'E2_family_choice', 'E3_channel_mappings', 'E4_channel_covariance', 'E5_noise', 'E6_patterns', 'E7_length_distribution']",True,error
MATR: capacity mapping affine in z per unit (Eq. 3),< 1e-9 Ah,0.00e+00,True,error
"MATR: phi_charge_time monotone on [0, 1]",monotone,True,True,error
"MATR: phi_mean_discharge_voltage monotone on [0, 1]",monotone,True,True,error
"MATR: phi_internal_resistance monotone on [0, 1]",monotone,True,True,error
"MATR: phi_temperature_mean monotone on [0, 1]",monotone,True,True,error
MATR: fit residuals centred (|mean| <= 0.5 residual scale) in >= 90% of units,>= 0.90,1.000,True,error
MATR: theta not collapsing to bounds (units with any parameter at a bound <= 20%),<= 0.20,0.022,True,warn
MATR: theta from >= 5 units reaching EOL (D02 minimum; else theta statistics void),>= 5,90,True,warn
MATR: D05 enable rule evaluated for both types,evaluated,evaluated,True,error
HUST: estimated/declared split matches paper §3.3 (E1-E7 only under estimated_from_data),"['E1_theta_distribution', 'E2_family_choice', 'E3_channel_mappings', 'E4_channel_covariance', 'E5_noise', 'E6_patterns', 'E7_length_distribution']","['E1_theta_distribution', 'E2_family_choice', 'E3_channel_mappings', 'E4_channel_covariance', 'E5_noise', 'E6_patterns', 'E7_length_distribution']",True,error
HUST: capacity mapping affine in z per unit (Eq. 3),< 1e-9 Ah,1.11e-16,True,error
"HUST: phi_charge_time monotone on [0, 1]",monotone,True,True,error
"HUST: phi_mean_discharge_voltage monotone on [0, 1]",monotone,True,True,error
HUST: fit residuals centred (|mean| <= 0.5 residual scale) in >= 90% of units,>= 0.90,1.000,True,error
HUST: theta not collapsing to bounds (units with any parameter at a bound <= 20%),<= 0.20,0.000,True,warn
HUST: theta from >= 5 units reaching EOL (D02 minimum; else theta statistics void),>= 5,54,True,warn
HUST: D05 enable rule evaluated for both types,evaluated,evaluated,True,error
NASA_PCoE: estimated/declared split matches paper §3.3 (E1-E7 only under estimated_from_data),"['E1_theta_distribution', 'E2_family_choice', 'E3_channel_mappings', 'E4_channel_covariance', 'E5_noise', 'E6_patterns', 'E7_length_distribution']","['E1_theta_distribution', 'E2_family_choice', 'E3_channel_mappings', 'E4_channel_covariance', 'E5_noise', 'E6_patterns', 'E7_length_distribution']",True,error
NASA_PCoE: capacity mapping affine in z per unit (Eq. 3),< 1e-9 Ah,2.91e-16,True,error
"NASA_PCoE: phi_charge_time monotone on [0, 1]",monotone,True,True,error
"NASA_PCoE: phi_mean_discharge_voltage monotone on [0, 1]",monotone,True,True,error
"NASA_PCoE: phi_temperature_mean monotone on [0, 1]",monotone,True,True,error
NASA_PCoE: fit residuals centred (|mean| <= 0.5 residual scale) in >= 90% of units,>= 0.90,1.000,True,error
NASA_PCoE: theta not collapsing to bounds (units with any parameter at a bound <= 20%),<= 0.20,0.125,True,warn
NASA_PCoE: theta from >= 5 units reaching EOL (D02 minimum; else theta statistics void),>= 5,8,True,warn
NASA_PCoE: D05 enable rule evaluated for both types,evaluated,evaluated,True,error
