cell_id,type,extremum,amplitude_Ah,duration,z_at_extremum
HUST_1-1,positive,36,0.002212707554009353,2,0.027372906513893656
HUST_1-2,positive,1,0.009836291554817933,11,0.0
HUST_1-7,positive,30,0.002303740895861584,5,0.026029561075642377
HUST_10-1,positive,28,0.0021401657781591516,2,0.023636845750196173
HUST_10-3,positive,52,0.0014503670023051029,4,0.03324880965799662
HUST_10-3,negative,136,-0.0013249873556480179,2,0.05980107615872029
HUST_10-3,negative,141,-0.0015790817275605222,6,0.061904305465721746
HUST_10-3,negative,150,-0.0015932977501397325,6,0.06397933811634715
HUST_10-3,negative,161,-0.0014491275278637914,4,0.06587764115840096
HUST_10-3,negative,166,-0.0016718266819356334,7,0.06793645052761432
HUST_10-3,negative,174,-0.0017163005793005978,8,0.06988247841835739
HUST_10-3,negative,185,-0.001584296345494421,6,0.07196872251126261
HUST_10-3,negative,192,-0.0017080706342816544,7,0.07393513849222687
HUST_10-3,negative,200,-0.0017597673199397676,8,0.07590911683952613
HUST_10-3,negative,209,-0.0017593577018638962,9,0.07796183469331926
HUST_10-3,negative,221,-0.0015590056104266491,5,0.08004675719931328
HUST_10-3,negative,231,-0.0015078396352891927,4,0.08221904186725727
HUST_10-3,negative,241,-0.001420978134436287,3,0.08414797027973522
HUST_10-3,negative,251,-0.0013338003752997936,2,0.08617263473628166
HUST_10-3,negative,1834,-0.001500803131428364,2,0.9807466590759756
HUST_10-4,positive,74,0.002051618830024246,6,0.0007831010457268129
HUST_10-4,positive,78,0.0017527125557539687,2,0.003015883183777039
HUST_10-4,positive,1805,0.0019155462642795747,2,0.9920107380651743
HUST_10-4,positive,1808,0.0019706534459043757,2,0.9955833881909065
HUST_10-5,positive,88,0.0021791095428617103,3,0.004965548311254071
HUST_10-7,positive,79,0.0017720850872868664,5,0.005694531379630249
HUST_10-7,positive,85,0.001651315663377191,4,0.0074768526888134654
HUST_10-7,negative,171,-0.0014937180612520297,2,0.038698689372295536
HUST_10-7,negative,205,-0.0016882671904728766,4,0.04849671236264264
HUST_10-8,positive,41,0.0017265183077749676,3,0.03214370938302352
HUST_10-8,negative,119,-0.0016313829082749906,2,0.062264851752272185
HUST_10-8,negative,131,-0.0018669634807477206,4,0.06641114408433631
HUST_10-8,negative,139,-0.0018148390549488098,4,0.06824073571400126
HUST_10-8,negative,145,-0.0019366401046742817,5,0.07026141030333555
HUST_10-8,negative,166,-0.0020355199388274884,7,0.0762538061418343
HUST_10-8,negative,174,-0.0019972332931079504,6,0.07827840795153036
HUST_10-8,negative,183,-0.0018616372865048714,4,0.08027212496133657
HUST_10-8,negative,192,-0.0017177952535362652,3,0.08224235135649534
HUST_10-8,negative,199,-0.0017463798078384714,3,0.08422946094401676
HUST_10-8,negative,1383,-0.0017474687501083427,2,0.9740516299976796
HUST_10-8,negative,1390,-0.0019210244499627775,2,0.9840876387971605
HUST_10-8,negative,1399,-0.002473933465604684,9,0.9979544826349078
HUST_2-2,negative,176,-0.002124238602377494,3,0.07804086962424994
HUST_2-2,negative,183,-0.0022480573270324453,5,0.07970431610667038
HUST_2-2,negative,191,-0.0023414373094066366,7,0.08149483128899619
HUST_2-2,negative,201,-0.002350611415199392,7,0.08335633968066579
HUST_2-2,negative,267,-0.002107142576461815,3,0.09495291987655077
