cell_id,split,reaches_eol
HUST_1-1,fitting,True
HUST_1-2,fitting,True
HUST_1-3,held_out,True
HUST_1-4,held_out,True
HUST_1-5,held_out,True
HUST_1-6,fitting,True
HUST_1-7,fitting,True
HUST_1-8,held_out,True
HUST_10-1,fitting,True
HUST_10-2,fitting,True
HUST_10-3,fitting,True
HUST_10-4,fitting,True
HUST_10-5,fitting,True
HUST_10-6,held_out,True
HUST_10-7,fitting,True
HUST_10-8,fitting,True
HUST_2-2,fitting,True
HUST_2-3,fitting,True
HUST_2-4,fitting,True
HUST_2-5,fitting,True
HUST_2-6,held_out,True
HUST_2-7,held_out,True
HUST_2-8,fitting,True
HUST_3-1,fitting,True
HUST_3-2,fitting,True
HUST_3-3,fitting,True
HUST_3-4,fitting,True
HUST_3-5,fitting,True
HUST_3-6,held_out,True
HUST_3-7,fitting,True
HUST_3-8,fitting,True
HUST_4-1,fitting,True
HUST_4-2,fitting,True
HUST_4-3,fitting,True
HUST_4-4,fitting,True
HUST_4-5,held_out,True
HUST_4-6,held_out,True
HUST_4-7,held_out,True
HUST_4-8,fitting,True
HUST_5-1,fitting,True
HUST_5-2,fitting,True
HUST_5-3,fitting,True
HUST_5-4,fitting,True
HUST_5-5,fitting,True
HUST_5-6,fitting,True
HUST_5-7,held_out,True
HUST_6-1,fitting,True
HUST_6-2,fitting,True
HUST_6-3,held_out,True
HUST_6-4,held_out,True
HUST_6-5,fitting,True
HUST_6-6,held_out,True
HUST_6-8,fitting,True
HUST_7-1,fitting,True
HUST_7-2,held_out,True
HUST_7-3,held_out,True
HUST_7-4,fitting,True
HUST_7-5,fitting,True
HUST_7-6,fitting,True
HUST_7-7,fitting,True
HUST_7-8,held_out,True
HUST_8-1,held_out,True
HUST_8-2,fitting,True
HUST_8-3,fitting,True
HUST_8-4,fitting,True
HUST_8-5,fitting,True
HUST_8-6,held_out,True
HUST_8-7,fitting,True
HUST_8-8,fitting,True
HUST_9-1,held_out,True
HUST_9-2,fitting,True
HUST_9-3,fitting,True
HUST_9-4,fitting,True
HUST_9-5,fitting,True
HUST_9-6,held_out,True
HUST_9-7,fitting,True
HUST_9-8,held_out,True
