cell_id,split,reaches_eol
MATR_b1c0,held_out,True
MATR_b1c1,fitting,True
MATR_b1c10,held_out,False
MATR_b1c11,fitting,True
MATR_b1c12,fitting,False
MATR_b1c13,fitting,False
MATR_b1c14,held_out,True
MATR_b1c15,held_out,True
MATR_b1c16,held_out,True
MATR_b1c17,held_out,True
MATR_b1c18,fitting,True
MATR_b1c19,fitting,True
MATR_b1c2,held_out,True
MATR_b1c20,fitting,True
MATR_b1c21,fitting,True
MATR_b1c22,fitting,False
MATR_b1c23,fitting,True
MATR_b1c24,held_out,True
MATR_b1c25,fitting,True
MATR_b1c26,held_out,True
MATR_b1c27,fitting,True
MATR_b1c28,fitting,True
MATR_b1c29,fitting,True
MATR_b1c3,held_out,True
MATR_b1c30,fitting,True
MATR_b1c31,fitting,True
MATR_b1c32,fitting,True
MATR_b1c33,fitting,True
MATR_b1c34,fitting,True
MATR_b1c35,fitting,True
MATR_b1c36,held_out,True
MATR_b1c37,fitting,True
MATR_b1c38,fitting,True
MATR_b1c39,fitting,True
MATR_b1c4,fitting,True
MATR_b1c40,fitting,True
MATR_b1c41,held_out,True
MATR_b1c42,fitting,True
MATR_b1c43,fitting,True
MATR_b1c44,held_out,True
MATR_b1c45,held_out,True
MATR_b1c5,fitting,True
MATR_b1c6,held_out,True
MATR_b1c7,held_out,True
MATR_b1c8,held_out,False
MATR_b1c9,fitting,True
MATR_b2c0,fitting,True
MATR_b2c1,held_out,True
MATR_b2c10,fitting,True
MATR_b2c11,fitting,True
MATR_b2c12,held_out,True
MATR_b2c13,held_out,True
MATR_b2c14,held_out,True
MATR_b2c17,fitting,True
MATR_b2c18,fitting,True
MATR_b2c19,fitting,True
MATR_b2c2,fitting,True
MATR_b2c20,fitting,True
MATR_b2c21,fitting,True
MATR_b2c22,fitting,True
MATR_b2c23,held_out,True
MATR_b2c24,fitting,True
MATR_b2c25,fitting,True
MATR_b2c26,held_out,True
MATR_b2c27,fitting,True
MATR_b2c28,fitting,True
MATR_b2c29,fitting,True
MATR_b2c3,held_out,True
MATR_b2c30,fitting,True
MATR_b2c31,held_out,True
MATR_b2c32,fitting,True
MATR_b2c33,held_out,True
MATR_b2c34,fitting,True
MATR_b2c35,fitting,True
MATR_b2c36,fitting,True
MATR_b2c37,fitting,True
MATR_b2c38,fitting,True
MATR_b2c39,fitting,True
MATR_b2c4,held_out,True
MATR_b2c40,held_out,True
MATR_b2c41,fitting,True
MATR_b2c42,fitting,True
MATR_b2c43,held_out,True
MATR_b2c44,fitting,True
MATR_b2c45,fitting,True
MATR_b2c46,held_out,True
MATR_b2c47,fitting,True
MATR_b2c5,held_out,True
MATR_b2c6,fitting,True
MATR_b3c0,held_out,True
MATR_b3c1,fitting,True
MATR_b3c10,fitting,True
MATR_b3c11,fitting,True
MATR_b3c12,fitting,True
MATR_b3c13,fitting,True
MATR_b3c14,fitting,True
MATR_b3c15,held_out,True
MATR_b3c16,fitting,True
MATR_b3c17,fitting,True
MATR_b3c18,fitting,True
MATR_b3c19,held_out,True
MATR_b3c2,fitting,True
MATR_b3c20,fitting,True
MATR_b3c21,held_out,True
MATR_b3c22,fitting,True
MATR_b3c23,fitting,False
MATR_b3c24,fitting,True
MATR_b3c25,fitting,True
MATR_b3c26,fitting,True
MATR_b3c27,fitting,True
MATR_b3c28,fitting,True
MATR_b3c29,fitting,True
MATR_b3c3,fitting,True
MATR_b3c30,fitting,True
MATR_b3c31,fitting,True
MATR_b3c32,fitting,False
MATR_b3c33,held_out,True
MATR_b3c34,fitting,True
MATR_b3c35,fitting,True
MATR_b3c36,fitting,True
MATR_b3c37,held_out,True
MATR_b3c38,fitting,True
MATR_b3c39,fitting,True
MATR_b3c4,fitting,True
MATR_b3c40,held_out,True
MATR_b3c41,held_out,True
MATR_b3c42,fitting,True
MATR_b3c43,fitting,True
MATR_b3c44,fitting,True
MATR_b3c45,fitting,True
MATR_b3c5,fitting,True
MATR_b3c6,fitting,True
MATR_b3c7,fitting,True
MATR_b3c8,fitting,True
MATR_b3c9,held_out,True
