cell_id,reaches_eol,T,t1,n_kept,q1,denominator,T_from_record_end,family_params,family_at_bound,rmse_power_law,rmse_two_term_exponential,rmse_rollover,cv_rmse_power_law,cv_rmse_two_term_exponential,cv_rmse_rollover,residual_scale_Ah,residual_mean_over_scale,n_positive,n_negative,fit_positions
MATR_b1c1,True,2158.0,14,2158,1.082415053379957,0.2024150533799569,True,"[1.0029000941409623, -0.031608493008071746, -0.000180290750518414, 3.0350977854206374]",[],0.006155456484520186,0.0018342556998266152,0.0017633553693111215,0.01693786931590458,0.007437774968992394,0.008212189362918294,0.0014933413754719955,-3.739947317678578e-06,4,2,2145
MATR_b1c11,True,786.0,20,786,1.0602274261072295,0.18022742610722942,True,"[1.000896037557068, -0.014276660446054067, -0.000339356264765061, 7.885770977755545]",[],0.00301775067456804,0.002050724642715574,0.0009642354782908507,0.011329355145786948,0.003912082001073912,0.0024801442174038134,0.0016070637019565948,5.358631669081758e-07,0,0,767
MATR_b1c12,False,,20,900,1.0821912965035,0.20219129650349998,False,"[1.0019281251069785, -0.0216101171361836, -0.00020366677388330466, 7.2767809725800054]",[],0.0030626729553440884,0.0008859624139035227,0.0007576915176887312,,,,0.0006821477443995745,4.7003314111948384e-07,3,1,881
MATR_b1c13,False,,20,895,1.0845483827505866,0.2045483827505865,False,"[1.0026857103011229, -0.03273323856927042, -6.486537925620417e-05, 8.453583527907565]",[],0.0038809619101432,0.0009242853664513036,0.0009247627949792515,,,,0.0011225498813276676,-3.0239006011231225e-06,1,0,876
MATR_b1c18,True,688.0,19,688,1.070131970396274,0.19013197039627383,True,"[1.0026253308346211, -0.09700181024476962, -8.665654401222438e-06, 13.939704309218518]",[],0.007940557147957095,0.0021424753043350034,0.0010161377613548204,0.019364300365085484,0.007641620498839291,0.007820626471662751,0.002224373719410024,2.81556548513185e-05,2,0,670
MATR_b1c19,True,786.0,15,786,1.0891354750582787,0.20913547505827856,True,"[1.000817696706045, -0.023309666133402986, -0.0008450073009798688, 6.8416621919555]",[],0.00401255193508148,0.0026774210169362806,0.0010224327954597087,0.014868931305639965,0.00836522192333854,0.005533444242880033,0.0027068645795460073,1.0157463986893493e-06,1,0,772
MATR_b1c20,True,532.0,7,532,1.0762344988345025,0.1962344988345024,True,"[1.0065607136338868, -0.2210422466893494, -0.0001971409195842962, 11.126907712502092]",[],0.0043658351111226165,0.001588508140881323,0.001526200100843125,0.009512003924276018,0.005623321567970725,0.0064200483955055825,0.0018621619791236318,-6.261594025274737e-05,0,1,526
MATR_b1c21,True,557.0,7,557,1.086218375291379,0.20621837529137887,False,"[1.0054461638321324, -0.15504458717861555, -5.2878238980604414e-05, 13.67810606000644]",[],0.006438174120790034,0.001435240976067244,0.001389659240618954,0.014587950707277248,0.007785855386913747,0.007797145370548364,0.0014919020358352365,-5.605353998298176e-05,0,1,551
MATR_b1c22,False,,18,889,1.0836297538461572,0.2036297538461571,False,"[1.002006694701827, -0.028400896216634348, -0.00025233920534773504, 6.572238129723296]",[],0.0026798700503874394,0.0007758116983489148,0.0007898992042447093,,,,0.0009587866918483141,-1.8833116983870457e-06,0,0,872
MATR_b1c23,True,1012.0,18,1012,1.0831145179487216,0.20311451794872148,True,"[1.0014313584696464, -0.023872852009796906, -0.0002877700366623043, 6.287447149297422]",[],0.003731653314410674,0.0011489048318256282,0.0009974619259140172,0.012394431917418491,0.004721436525677897,0.0057351047211612015,0.0008237235095391163,6.699202589345494e-07,11,1,995
MATR_b1c25,True,852.0,19,852,1.0793122790209826,0.19931227902098247,True,"[1.0004686163942906, -0.005267700636089058, -0.001194856140601, 5.9189144320662]",[],0.002840943201913667,0.0021583095366860773,0.0008877265878418555,0.010576090483300273,0.011544239079521703,0.008869604312364218,0.0022577713292128688,5.6483519348648284e-08,0,0,834
MATR_b1c27,True,840.0,14,840,1.08276243636364,0.20276243636363978,True,"[1.0007725645855545, -0.02444043432729505, -0.000258140410717012, 7.729792796842576]",[],0.0034461788721906065,0.001197373176169203,0.0006558185563967344,0.012439071762196835,0.0022139108674192206,0.001860079227417734,0.0009944042714067382,1.7691800787447142e-06,4,1,827
MATR_b1c28,True,858.0,20,858,1.0811753869463905,0.20117538694639037,True,"[1.0001700244737768, -0.006939160759073373, -0.0009652734065793942, 6.151339320453958]",[],0.0033000611329048013,0.0026790299548728825,0.0011231101182122662,0.012864172154348503,0.006870316485724996,0.004824824699140735,0.002264612329076755,1.181267721719189e-07,1,2,839
MATR_b1c29,True,915.0,20,915,1.0832527911421947,0.20325279114219463,True,"[1.0009949314323343, -0.021928115287325686, -0.0005439873242124122, 6.31428313336055]",[],0.0036939576477853777,0.001964504765480691,0.0008975220524225776,0.013704825877484039,0.004354852219577098,0.003109990711366574,0.001604814100729807,1.5017130041060554e-06,1,1,896
MATR_b1c30,True,707.0,20,707,1.0838315762237798,0.20383157622377968,True,"[1.0002677279186565, -0.030422063048601733, -0.00011314425554128111, 10.39920132723844]",[],0.004530092692597064,0.0020916554537506174,0.0007634097727897823,0.015342119350808031,0.003762293095295654,0.0024221798872195075,0.0015885544125433405,2.6182649952587357e-06,2,0,688
MATR_b1c31,True,874.0,13,874,1.0983169682983722,0.2183169682983721,True,"[0.9996302634730357, -0.02764644215031891, -0.0002175950142948146, 7.7005722659859455]",[],0.004247946457217655,0.0022040931075030207,0.0008972590189478089,0.015642536894091886,0.004150600585084038,0.0029183149876486087,0.0016847932556937602,3.2607902690529382e-06,2,0,862
MATR_b1c32,True,729.0,20,729,1.0813510976690013,0.20135109766900117,True,"[1.0003319294467277, -0.017983478327786153, -0.0004822231562581581, 8.152583509313448]",[],0.0034928242618764683,0.0024384129583650263,0.001054364301618939,0.013234174393016773,0.0047408512804770556,0.0031980945701250985,0.0020227052630775954,6.495121386425026e-07,0,0,710
MATR_b1c33,True,755.0,15,755,1.0965167762237797,0.21651677622377963,False,"[1.0001378151517195, -0.018585857654403282, -0.0006621575347073095, 7.525603544362871]",[],0.003394816151741466,0.0020062104203066354,0.0008451362407489982,0.012369355499111867,0.005353807316203047,0.004185236833946131,0.001879820136653059,7.386244101483309e-07,0,0,741
MATR_b1c34,True,740.0,14,740,1.0804175680652717,0.20041756806527156,True,"[1.0011745809480896, -0.026388440202288418, -9.865031758450875e-05, 10.109692907298344]",[],0.004573872021732062,0.0018421856044818791,0.0010853629678952209,0.013996925116332807,0.003866394743739096,0.004457848601774629,0.0011927427659381153,1.8359900520964692e-06,3,0,727
MATR_b1c35,True,701.0,14,701,1.0745774247086284,0.19457742470862827,True,"[1.0003787021404642, -0.004773911735011986, -0.0005027812526170972, 8.437615962278866]",[],0.0025303283182346267,0.001909603049236751,0.0007357002889669718,0.009794467170936402,0.0057349699841754325,0.0037670753098517753,0.001590359079451168,4.470471822016237e-08,0,0,688
MATR_b1c37,True,646.0,18,646,1.078749237529141,0.19874923752914087,True,"[1.0004951144825034, -0.020430818874562866, -0.00041475513239350983, 9.37590372571139]",[],0.0032355875816020897,0.002099942440991424,0.0007892129190344547,0.012552321578198944,0.006106371028206272,0.004154520521735313,0.0018517056711438427,6.698049201483027e-07,2,0,629
MATR_b1c38,True,615.0,19,615,1.0764563393939428,0.1964563393939427,True,"[1.0006942187540588, -0.01980970870682009, -0.0002471968529467031, 10.727672351727987]",[],0.00369265522748498,0.002302469589835691,0.0013780316064688478,0.012918454758782488,0.006365895699264826,0.007123522775004938,0.0013182309216841397,6.402634608997186e-07,0,0,597
MATR_b1c39,True,623.0,20,623,1.0860723601398639,0.20607236013986374,False,"[1.0001567387190466, -0.008896005380010423, -0.0004555309617538561, 9.735634834250854]",[],0.0033289261835360855,0.0026800962525527668,0.001176543132474096,0.01280985852188842,0.004923136159082596,0.003860857197930239,0.002112542230936268,1.1884703722468975e-07,1,0,604
MATR_b1c4,True,1707.0,20,1707,1.0828334538461575,0.20283345384615736,True,"[1.0029343363878231, -0.026239365733609625, -0.00047449954121455605, 3.3814338946539286]",[],0.005021159957786574,0.0017687148020984732,0.0015076200391271155,0.014377858347927102,0.002456450168792903,0.006840042234173019,0.0016448951123438833,3.2445837444143293e-06,1,2,1688
MATR_b1c40,True,964.0,20,964,1.0874031818181855,0.2074031818181854,True,"[1.0010465937561264, -0.012382903746643413, -0.0010821560122619657, 5.310590010348623]",[],0.002725440558127816,0.0008368556232364029,0.0005073364077580968,0.008623708780625138,0.0033858871566383904,0.0031753619142797507,0.0008324044395713722,4.770382564546253e-07,0,2,945
MATR_b1c42,True,700.0,19,700,1.084126252214456,0.2041262522144558,True,"[1.000352074148616, 0.018363282978420117, -0.0019952646907244985, 6.661735660694313]",[],0.0026398191177554133,0.00276896653159032,0.0007550617254929706,0.007956247064408574,0.015856328818847604,0.012558598854045453,0.002949228926456408,4.1022185567388076e-07,1,0,682
MATR_b1c43,True,649.0,15,649,1.0716266890442927,0.1916266890442926,True,"[0.9995148919331411, -0.018691337005127515, -0.00037393607023189507, 9.482001627804063]",[],0.003522583172497417,0.0027013512590244506,0.0009045526235600363,0.014014159646778962,0.007321940009631908,0.004786235870880298,0.0023309342416979123,6.016884251178808e-07,2,1,635
MATR_b1c5,True,1071.0,20,1071,1.0803666487179524,0.2003666487179523,True,"[1.0050866518669832, -0.04647740938072785, -1.3152675604704107e-05, 8.691658241708959]",[],0.006450838485159734,0.0016997243304779047,0.0016838141074784537,0.014750843571319441,0.010481773565113404,0.01161817433383402,0.0021623502885042083,-1.5375679303921468e-05,0,0,1052
MATR_b1c9,True,1052.0,20,1052,1.0876293834498871,0.20762938344988702,True,"[1.002640285440156, -0.025248808912912712, -0.00029765531573930094, 6.019478680065482]",[],0.003839580326428718,0.0009015012826397589,0.0008306141539151954,0.012585608701090784,0.0027699147725411023,0.0035485708690798576,0.0007987650966262718,5.024714453192055e-07,3,7,1033
MATR_b2c0,True,299.0,6,325,1.0730828268065304,0.19308282680653033,False,"[1.9999999999999998, 0.6756199224617401, -0.9945649647530032, 1.6381471153207008]",['a'],0.001957406581155859,0.0018435622870217768,0.0018741211517915868,0.00296583715155894,0.0025574876785356914,0.0035578303463508648,0.0014340757688472048,-4.724741207560167e-06,0,2,294
MATR_b2c10,True,559.0,19,594,1.0738626494172532,0.19386264941725306,False,"[1.006127902568244, -0.11501330936398993, -0.0009134263797726866, 8.791541878927962]",[],0.004307612692320535,0.0006794722588485898,0.0006811271868209216,0.011501438955151757,0.0011412649248982143,0.0015211309218033557,0.0006657400600294945,-7.165578027017118e-06,0,1,541
MATR_b2c11,True,475.0,20,503,1.0757885573426609,0.19578855734266076,False,"[1.0068034507876522, -0.07561687143323495, -0.0020619684985997856, 9.01864136050577]",[],0.0033869677667564702,0.0010074343100869546,0.0010489105993265566,0.008600205196910382,0.0031643104329121888,0.0035691044015190307,0.000891892290510524,-3.412281494165441e-06,1,3,456
MATR_b2c17,True,493.0,19,524,1.0746564020979057,0.19465640209790558,False,"[1.004815735554018, -0.07453745646063308, -0.00020861817070085692, 13.422625327650898]",[],0.004930776505290604,0.002362189158121367,0.0023505741677896817,0.013079508605053275,0.0036386378812813466,0.004136711464414586,0.0015737791502900542,-7.734023451986115e-07,1,2,475
MATR_b2c18,True,486.0,18,522,1.067379839393943,0.18737983939394298,False,"[1.006070158770676, -0.15257977338762327, -0.00010484003317521555, 14.397175660081457]",[],0.005819109568739787,0.0010971176100527905,0.0010812520284365845,0.01448548635938846,0.004534594491291221,0.004905197658121763,0.0010804924554779893,-1.7732285684116313e-05,1,1,469
MATR_b2c19,True,461.0,6,488,1.049446110489514,0.16944611048951397,False,"[1.0027372872362708, -0.19482476359221765, -7.764909303825413e-06, 19.999999999999996]",['d'],0.0065246023709133495,0.0006810759152856599,0.0005149076458260178,0.014602634720625998,0.002247224980398051,0.0009522427128916756,0.000564077758996408,6.761843095848589e-05,1,3,456
MATR_b2c2,True,437.0,20,463,1.0788818755244791,0.198881875524479,False,"[1.0062367147963918, -0.09707940303102751, -0.00017352754577943934, 15.483279312052943]",[],0.004812850402202562,0.0013866646936823545,0.001390923702158143,0.012250149384703405,0.008179417416236076,0.008337531803952641,0.001661362309891734,-7.988095817804304e-06,0,1,418
MATR_b2c20,True,500.0,19,529,1.0888189480186514,0.2088189480186513,False,"[1.003646254101344, -0.03770072417375501, -0.0010536205919873122, 10.292672361423657]",[],0.003188597553750378,0.0007326837656804662,0.0007126283860850155,0.009605119085268055,0.001423337932105468,0.0024106855537350193,0.0006464866046591661,-2.039758716315541e-07,1,6,482
MATR_b2c21,True,488.0,18,519,1.0818682671328708,0.20186826713287065,False,"[1.005520045056171, -0.10311522580881348, -0.0004072840148199328, 12.006964502678859]",[],0.004672559606034795,0.0010316404719356606,0.0010457177388337375,0.011839063400121207,0.005046823425265741,0.005378029268804462,0.0011433467940692994,-1.0510873100029196e-05,0,2,471
MATR_b2c22,True,511.0,20,538,1.0848692850815889,0.20486928508158875,False,"[1.0047808371609501, -0.07208698109649458, -0.00023865925879865103, 12.771281277968557]",[],0.004542593528991431,0.0011373965453629021,0.0011208063108158438,0.013124683111572577,0.006039063537624278,0.007027379456085052,0.0012290863158742145,-2.853869242664831e-06,1,1,492
MATR_b2c24,True,494.0,20,523,1.0724225086247121,0.192422508624712,False,"[1.0041056149231913, -0.05679602675531452, -0.00015758486667635422, 14.046633781887799]",[],0.004081126218582767,0.0013459307814988014,0.0013028845936826842,0.012213727870559197,0.006508107949824068,0.007707688066814919,0.001466843126792365,-1.353755648822977e-06,1,0,475
MATR_b2c25,True,460.0,19,486,1.071927690442894,0.19192769044289393,False,"[1.0061594770015505, -0.10965747722954036, -0.0001605176714409437, 14.684421365237197]",[],0.00504076595762648,0.001170192425498373,0.0011694599624762587,0.012524472244757367,0.006648421314169076,0.006974917348737654,0.0012879884304688356,-1.2516650481077324e-05,0,1,442
MATR_b2c27,True,467.0,18,494,1.071101937529141,0.19110193752914095,False,"[1.0047233324282459, -0.06625843403630438, -0.00027258151258632184, 13.60227707281908]",[],0.0040544939124439495,0.0011498825593212268,0.0011510385021105897,0.011514291045691735,0.006615032083060579,0.007412373999067243,0.0015096965920143703,-2.5393467883574927e-06,0,0,450
MATR_b2c28,True,509.0,20,539,1.0771009006993044,0.1971009006993043,False,"[1.002572447413432, -0.0334445529308369, -0.0003416056903363069, 12.262948313490593]",[],0.0033045350455705017,0.0014479584200402277,0.0014057661578703183,0.010172930421233212,0.0026695004415941436,0.003467734382019745,0.001125198272903042,-4.206640595189836e-08,2,5,490
MATR_b2c29,True,497.0,20,521,1.0777096389277425,0.1977096389277424,False,"[1.0027750524087211, -0.021101490657535964, -0.00015982391525177692, 14.188994223544862]",[],0.004214462764420823,0.0015874038229657828,0.0014631698272174697,0.010634898307390447,0.005294488774085891,0.006738153752431768,0.000984048908452892,-3.8147699014215766e-08,1,1,478
MATR_b2c30,True,480.0,20,506,1.0723456801864837,0.19234568018648357,False,"[1.0053159461779277, -0.06978869955938734, -0.0001631290339876077, 14.288288925709157]",[],0.0043320439608195895,0.001209044387734063,0.0012117168586105937,0.011912777144882097,0.006853785387197264,0.0074302288085675945,0.0013889651118823717,-4.4690732979099515e-06,0,1,461
MATR_b2c32,True,518.0,17,543,1.079654732400936,0.1996547324009359,False,"[1.0023621536878002, -0.022801581571329423, -0.0002067593765006515, 13.105900083270505]",[],0.003867180557058346,0.0019334392696376877,0.0018911377667404539,0.01055372816473751,0.007046811204292139,0.0087788318313629,0.001257455715940127,-1.5684856053478761e-07,2,5,502
MATR_b2c34,True,498.0,17,525,1.0747136470862508,0.19471364708625072,False,"[1.0021971724137437, -0.026865571400277687, -0.00011341021068983624, 14.789910211087774]",[],0.004515516198029027,0.0014813652652912001,0.001243716736864707,0.011653917641706524,0.005377710395225779,0.006728090184094185,0.0011378711778108291,5.405158674738186e-08,1,0,482
MATR_b2c35,True,462.0,17,485,1.0738122151515188,0.1938122151515187,False,"[1.0057783880893432, -0.08789838178117332, -7.84816506428078e-05, 16.35048396763512]",[],0.005034561834732487,0.0013429707554380645,0.0013398437498098718,0.013266304966130038,0.00867698002925193,0.00912839548368005,0.0016445243261262819,-7.971628723675e-06,0,1,446
