index,source_unit,T,n_patterns,split
0,HUST_2-5,1387,0,train
1,HUST_8-2,2035,0,test
2,HUST_9-5,2172,0,validation
3,HUST_10-4,1807,0,train
4,HUST_4-2,1781,0,train
5,HUST_3-5,2638,0,train
6,HUST_10-7,1785,0,train
7,HUST_7-4,1391,0,train
8,HUST_10-2,1696,0,train
9,HUST_7-4,1391,0,train
10,HUST_8-4,1881,0,validation
11,HUST_6-5,2178,0,train
12,HUST_6-5,2178,0,train
13,HUST_8-4,1881,0,train
14,HUST_3-1,1933,0,train
15,HUST_8-5,1345,0,train
16,HUST_8-8,1680,0,validation
17,HUST_5-1,2497,0,train
18,HUST_10-4,1807,0,train
19,HUST_6-8,2441,0,train
20,HUST_5-5,1585,0,train
21,HUST_3-2,2284,0,train
22,HUST_2-2,2663,0,test
23,HUST_9-7,2009,0,test
24,HUST_3-7,2461,0,train
25,HUST_3-8,2344,0,train
26,HUST_8-8,1680,0,train
27,HUST_2-8,1475,0,train
28,HUST_5-2,1923,0,train
29,HUST_9-3,1903,0,test
30,HUST_9-5,2172,0,test
31,HUST_7-6,1422,0,train
32,HUST_7-4,1391,0,test
33,HUST_8-8,1680,0,train
34,HUST_3-3,1648,0,validation
35,HUST_4-3,1146,0,train
36,HUST_10-2,1696,0,train
37,HUST_6-1,1602,0,train
38,HUST_6-8,2441,0,train
39,HUST_8-7,2032,0,train
40,HUST_1-2,2660,0,test
41,HUST_1-6,1143,0,validation
42,HUST_8-2,2035,0,train
43,HUST_3-4,1781,0,test
44,HUST_2-8,1475,0,train
45,HUST_3-2,2284,0,validation
46,HUST_10-1,1699,0,train
47,HUST_4-2,1781,0,test
48,HUST_5-5,1585,0,train
49,HUST_5-2,1923,0,train
50,HUST_1-1,1502,0,validation
51,HUST_5-1,2497,0,train
52,HUST_7-6,1422,0,validation
53,HUST_9-3,1903,0,train
54,HUST_2-8,1475,0,test
55,HUST_3-3,1648,0,train
56,HUST_6-5,2178,0,train
57,HUST_3-8,2344,0,validation
58,HUST_3-8,2344,0,train
59,HUST_3-7,2461,0,train
60,HUST_3-8,2344,0,validation
61,HUST_3-7,2461,0,train
62,HUST_3-4,1781,0,train
63,HUST_3-5,2638,0,validation
64,HUST_7-6,1422,0,validation
65,HUST_2-4,1499,0,train
66,HUST_5-4,1948,0,train
67,HUST_3-1,1933,0,train
68,HUST_3-7,2461,0,train
69,HUST_9-2,2147,0,train
70,HUST_8-4,1881,0,validation
71,HUST_5-4,1948,0,train
72,HUST_5-4,1948,0,train
73,HUST_10-4,1807,0,train
74,HUST_5-2,1923,0,train
75,HUST_9-4,1973,0,train
76,HUST_5-4,1948,0,train
77,HUST_6-5,2178,0,train
78,HUST_3-2,2284,0,train
79,HUST_10-2,1696,0,validation
80,HUST_2-2,2663,0,train
81,HUST_6-5,2178,0,train
82,HUST_2-3,1741,0,test
83,HUST_7-4,1391,0,test
84,HUST_5-4,1948,0,train
85,HUST_9-3,1903,0,train
86,HUST_5-1,2497,0,train
87,HUST_10-8,1406,0,train
88,HUST_6-8,2441,0,train
89,HUST_9-4,1973,0,train
90,HUST_6-8,2441,0,test
91,HUST_7-5,1876,0,validation
92,HUST_10-1,1699,0,train
93,HUST_6-2,1912,0,test
94,HUST_3-3,1648,0,train
95,HUST_7-6,1422,0,train
96,HUST_10-5,2029,0,train
97,HUST_1-7,1674,0,train
98,HUST_4-2,1781,0,train
99,HUST_9-7,2009,0,test
100,HUST_4-4,1493,0,validation
101,HUST_5-5,1585,0,test
102,HUST_9-4,1973,0,train
103,HUST_6-2,1912,0,train
104,HUST_3-1,1933,0,train
105,HUST_8-2,2035,0,train
106,HUST_5-3,2686,0,validation
107,HUST_4-3,1146,0,validation
108,HUST_2-8,1475,0,train
109,HUST_8-5,1345,0,train
110,HUST_5-5,1585,0,test
111,HUST_3-2,2284,0,train
112,HUST_5-5,1585,0,test
113,HUST_9-4,1973,0,validation
114,HUST_3-1,1933,0,train
115,HUST_6-2,1912,0,train
116,HUST_7-4,1391,0,train
117,HUST_8-7,2032,0,train
118,HUST_4-1,2221,0,train
119,HUST_4-3,1146,0,train
120,HUST_7-6,1422,0,train
121,HUST_9-7,2009,0,train
122,HUST_9-2,2147,0,validation
123,HUST_8-7,2032,0,train
124,HUST_10-1,1699,0,test
125,HUST_5-5,1585,0,train
126,HUST_4-3,1146,0,train
127,HUST_4-2,1781,0,validation
128,HUST_3-5,2638,0,test
129,HUST_1-2,2660,0,test
130,HUST_8-3,2292,0,train
131,HUST_5-5,1585,0,train
132,HUST_8-2,2035,0,validation
133,HUST_9-4,1973,0,validation
