index,source_unit,T,n_patterns,split
0,MATR_b1c31,869,0,test
1,MATR_b1c31,869,0,train
2,MATR_b3c31,727,0,test
3,MATR_b3c7,1826,0,train
4,MATR_b2c25,460,0,train
5,MATR_b1c23,1011,0,train
6,MATR_b2c0,304,0,train
7,MATR_b3c10,1067,0,train
8,MATR_b3c3,1106,0,train
9,MATR_b2c29,494,0,test
10,MATR_b2c30,479,0,train
11,MATR_b1c35,696,0,train
12,MATR_b3c39,1152,0,train
13,MATR_b2c18,484,0,validation
14,MATR_b2c36,531,0,validation
15,MATR_b2c38,462,0,test
16,MATR_b3c38,1928,0,validation
17,MATR_b2c25,460,0,train
18,MATR_b1c27,838,0,train
19,MATR_b3c12,928,0,train
20,MATR_b2c41,427,0,train
21,MATR_b1c37,643,0,test
22,MATR_b3c1,1054,0,train
23,MATR_b3c35,1083,0,train
24,MATR_b2c17,491,0,train
25,MATR_b3c17,1303,0,train
26,MATR_b2c38,462,0,train
27,MATR_b1c31,869,0,train
28,MATR_b3c18,1132,0,train
29,MATR_b3c26,1020,0,train
30,MATR_b2c6,508,0,train
31,MATR_b3c12,928,0,train
32,MATR_b1c20,536,0,train
33,MATR_b1c11,781,0,train
34,MATR_b3c6,668,0,train
35,MATR_b1c25,848,0,train
36,MATR_b1c34,736,0,train
37,MATR_b2c27,466,0,train
38,MATR_b3c2,1251,0,test
39,MATR_b3c5,825,0,train
40,MATR_b1c18,682,0,train
41,MATR_b2c0,304,0,train
42,MATR_b3c36,922,0,test
43,MATR_b2c37,474,0,test
44,MATR_b2c11,478,0,train
45,MATR_b3c36,922,0,validation
46,MATR_b2c37,474,0,train
47,MATR_b3c38,1928,0,train
48,MATR_b3c36,922,0,train
49,MATR_b3c35,1083,0,train
50,MATR_b3c29,855,0,train
51,MATR_b3c14,857,0,train
52,MATR_b3c20,808,0,test
53,MATR_b1c29,909,0,train
54,MATR_b2c28,506,0,train
55,MATR_b3c25,985,0,validation
56,MATR_b2c22,509,0,train
57,MATR_b2c38,462,0,train
58,MATR_b1c33,748,0,train
59,MATR_b2c29,494,0,train
60,MATR_b1c28,851,0,train
61,MATR_b1c43,644,0,train
62,MATR_b1c33,748,0,train
63,MATR_b2c18,484,0,test
64,MATR_b3c26,1020,0,train
65,MATR_b2c29,494,0,train
66,MATR_b1c21,560,0,train
67,MATR_b1c30,702,0,train
68,MATR_b2c37,474,0,test
69,MATR_b1c33,748,0,train
70,MATR_b3c3,1106,0,test
71,MATR_b2c39,456,0,train
72,MATR_b3c43,1040,0,train
73,MATR_b3c16,1623,0,train
74,MATR_b1c33,748,0,train
75,MATR_b1c21,560,0,train
76,MATR_b3c1,1054,0,train
77,MATR_b3c25,985,0,train
78,MATR_b2c45,484,0,train
79,MATR_b3c11,814,0,test
80,MATR_b1c25,848,0,train
81,MATR_b2c38,462,0,train
82,MATR_b2c28,506,0,train
83,MATR_b1c34,736,0,train
84,MATR_b3c12,928,0,test
85,MATR_b3c4,1039,0,validation
86,MATR_b1c35,696,0,test
87,MATR_b1c4,1696,0,train
88,MATR_b2c47,713,0,train
89,MATR_b3c24,823,0,validation
90,MATR_b2c41,427,0,validation
91,MATR_b1c42,693,0,train
92,MATR_b2c10,559,0,test
93,MATR_b2c20,498,0,train
94,MATR_b1c37,643,0,train
95,MATR_b3c16,1623,0,train
96,MATR_b3c11,814,0,train
97,MATR_b1c38,610,0,train
98,MATR_b2c29,494,0,validation
99,MATR_b3c10,1067,0,test
100,MATR_b1c11,781,0,train
101,MATR_b1c33,748,0,train
102,MATR_b3c25,985,0,test
103,MATR_b3c29,855,0,train
104,MATR_b3c44,938,0,train
105,MATR_b2c22,509,0,train
106,MATR_b1c29,909,0,train
107,MATR_b2c35,461,0,validation
108,MATR_b2c11,478,0,train
109,MATR_b1c21,560,0,train
110,MATR_b3c1,1054,0,train
111,MATR_b2c24,492,0,train
112,MATR_b2c10,559,0,test
113,MATR_b1c5,1069,0,test
114,MATR_b1c1,2153,0,train
115,MATR_b3c22,1001,0,train
116,MATR_b2c34,495,0,train
117,MATR_b1c4,1696,0,train
118,MATR_b2c10,559,0,validation
119,MATR_b3c5,825,0,train
120,MATR_b1c40,963,0,validation
121,MATR_b3c16,1623,0,test
122,MATR_b2c25,460,0,train
123,MATR_b3c27,845,0,test
124,MATR_b3c43,1040,0,train
125,MATR_b3c45,1789,0,train
126,MATR_b3c29,855,0,validation
127,MATR_b1c27,838,0,validation
128,MATR_b2c28,506,0,train
129,MATR_b2c32,515,0,validation
130,MATR_b1c34,736,0,train
131,MATR_b2c35,461,0,train
132,MATR_b2c47,713,0,test
133,MATR_b3c12,928,0,train
134,MATR_b2c22,509,0,train
135,MATR_b2c27,466,0,validation
136,MATR_b3c22,1001,0,train
137,MATR_b2c17,491,0,validation
138,MATR_b3c4,1039,0,validation
139,MATR_b3c34,1146,0,test
140,MATR_b2c18,484,0,train
141,MATR_b3c7,1826,0,train
142,MATR_b3c25,985,0,train
143,MATR_b3c31,727,0,train
144,MATR_b3c12,928,0,validation
145,MATR_b1c42,693,0,train
146,MATR_b2c47,713,0,train
147,MATR_b2c45,484,0,train
148,MATR_b3c18,1132,0,train
149,MATR_b2c45,484,0,train
150,MATR_b3c20,808,0,train
151,MATR_b3c44,938,0,train
152,MATR_b1c31,869,0,test
153,MATR_b1c4,1696,0,validation
154,MATR_b2c41,427,0,validation
155,MATR_b2c42,461,0,test
156,MATR_b2c6,508,0,train
157,MATR_b1c39,617,0,train
158,MATR_b2c17,491,0,train
159,MATR_b2c39,456,0,validation
160,MATR_b1c37,643,0,train
161,MATR_b3c43,1040,0,validation
162,MATR_b3c39,1152,0,train
163,MATR_b3c44,938,0,train
164,MATR_b3c14,857,0,validation
165,MATR_b2c10,559,0,train
166,MATR_b3c4,1039,0,test
167,MATR_b3c25,985,0,validation
168,MATR_b2c17,491,0,train
169,MATR_b2c41,427,0,train
170,MATR_b1c11,781,0,train
171,MATR_b2c38,462,0,train
172,MATR_b3c38,1928,0,test
173,MATR_b2c39,456,0,test
174,MATR_b3c42,1636,0,test
175,MATR_b3c7,1826,0,train
176,MATR_b3c29,855,0,train
177,MATR_b3c2,1251,0,test
178,MATR_b1c34,736,0,train
179,MATR_b3c27,845,0,train
180,MATR_b2c20,498,0,validation
181,MATR_b3c38,1928,0,train
182,MATR_b3c44,938,0,train
183,MATR_b2c11,478,0,validation
184,MATR_b1c43,644,0,train
185,MATR_b3c36,922,0,validation
186,MATR_b2c36,531,0,train
187,MATR_b1c33,748,0,train
188,MATR_b3c13,815,0,validation
189,MATR_b3c28,542,0,train
190,MATR_b3c12,928,0,train
191,MATR_b1c33,748,0,train
192,MATR_b2c32,515,0,test
193,MATR_b2c25,460,0,train
194,MATR_b1c42,693,0,train
195,MATR_b3c8,825,0,validation
196,MATR_b3c26,1020,0,test
197,MATR_b2c24,492,0,train
198,MATR_b1c28,851,0,train
199,MATR_b3c7,1826,0,train
200,MATR_b3c34,1146,0,train
201,MATR_b2c28,506,0,train
202,MATR_b3c30,932,0,validation
203,MATR_b1c23,1011,0,validation
204,MATR_b2c29,494,0,train
205,MATR_b3c27,845,0,train
206,MATR_b1c38,610,0,train
207,MATR_b2c47,713,0,validation
208,MATR_b1c32,723,0,train
209,MATR_b2c22,509,0,train
210,MATR_b2c27,466,0,validation
211,MATR_b1c29,909,0,train
212,MATR_b3c39,1152,0,validation
213,MATR_b1c1,2153,0,train
214,MATR_b1c40,963,0,train
215,MATR_b2c25,460,0,train
216,MATR_b3c34,1146,0,test
217,MATR_b3c7,1826,0,test
218,MATR_b1c27,838,0,test
219,MATR_b3c20,808,0,test
220,MATR_b2c11,478,0,train
221,MATR_b3c24,823,0,validation
222,MATR_b1c37,643,0,train
223,MATR_b3c5,825,0,train
224,MATR_b2c44,453,0,train
225,MATR_b1c39,617,0,train
226,MATR_b3c42,1636,0,train
227,MATR_b3c38,1928,0,test
228,MATR_b2c6,508,0,train
229,MATR_b3c27,845,0,validation
230,MATR_b3c10,1067,0,test
231,MATR_b2c36,531,0,train
232,MATR_b2c11,478,0,train
233,MATR_b3c5,825,0,train
234,MATR_b3c7,1826,0,train
235,MATR_b2c38,462,0,train
236,MATR_b1c27,838,0,train
237,MATR_b1c33,748,0,train
238,MATR_b1c38,610,0,train
239,MATR_b2c11,478,0,train
240,MATR_b3c10,1067,0,validation
241,MATR_b1c21,560,0,validation
242,MATR_b3c10,1067,0,train
243,MATR_b2c45,484,0,train
244,MATR_b2c38,462,0,validation
245,MATR_b3c27,845,0,validation
246,MATR_b3c39,1152,0,train
247,MATR_b2c47,713,0,train
248,MATR_b2c35,461,0,test
249,MATR_b3c14,857,0,validation
250,MATR_b3c12,928,0,train
251,MATR_b1c32,723,0,train
252,MATR_b3c22,1001,0,validation
253,MATR_b1c23,1011,0,train
254,MATR_b1c28,851,0,train
255,MATR_b3c24,823,0,train
256,MATR_b1c25,848,0,train
257,MATR_b3c17,1303,0,train
258,MATR_b2c20,498,0,train
259,MATR_b1c5,1069,0,train
260,MATR_b3c20,808,0,test
261,MATR_b2c29,494,0,train
262,MATR_b1c5,1069,0,train
263,MATR_b2c6,508,0,train
264,MATR_b1c1,2153,0,train
265,MATR_b1c42,693,0,train
266,MATR_b3c25,985,0,train
267,MATR_b3c35,1083,0,train
268,MATR_b2c32,515,0,test
269,MATR_b3c1,1054,0,train
270,MATR_b3c35,1083,0,train
271,MATR_b2c45,484,0,test
272,MATR_b3c16,1623,0,train
273,MATR_b3c8,825,0,train
274,MATR_b3c36,922,0,train
275,MATR_b3c2,1251,0,train
276,MATR_b2c6,508,0,train
277,MATR_b2c41,427,0,test
278,MATR_b1c30,702,0,train
279,MATR_b2c18,484,0,train
280,MATR_b2c45,484,0,train
281,MATR_b2c35,461,0,train
282,MATR_b2c6,508,0,train
283,MATR_b2c27,466,0,validation
284,MATR_b2c34,495,0,train
285,MATR_b1c43,644,0,train
286,MATR_b1c39,617,0,train
287,MATR_b1c32,723,0,train
288,MATR_b1c20,536,0,train
289,MATR_b2c18,484,0,train
290,MATR_b2c18,484,0,train
291,MATR_b2c36,531,0,train
292,MATR_b1c31,869,0,train
293,MATR_b2c27,466,0,train
294,MATR_b3c43,1040,0,train
295,MATR_b2c28,506,0,train
296,MATR_b1c38,610,0,validation
297,MATR_b2c30,479,0,train
298,MATR_b1c20,536,0,test
299,MATR_b2c39,456,0,train
