index,source_unit,T,n_patterns,split
0,NASA_B0006,66,0,train
1,NASA_B0005,74,0,train
2,NASA_B0030,33,0,train
3,NASA_B0006,66,0,test
4,NASA_B0005,74,2,validation
5,NASA_B0005,74,2,test
6,NASA_B0018,63,1,train
7,NASA_B0018,63,0,validation
8,NASA_B0030,33,0,train
9,NASA_B0036,198,1,train
10,NASA_B0040,35,1,test
11,NASA_B0018,63,0,train
12,NASA_B0006,66,0,validation
13,NASA_B0043,16,0,train
14,NASA_B0030,33,0,train
15,NASA_B0030,33,0,train
16,NASA_B0005,74,2,train
17,NASA_B0005,74,1,validation
18,NASA_B0018,63,0,train
19,NASA_B0018,63,1,train
20,NASA_B0040,35,4,train
21,NASA_B0006,66,1,train
22,NASA_B0007,83,0,test
23,NASA_B0040,35,1,train
24,NASA_B0018,63,3,test
25,NASA_B0006,66,0,train
26,NASA_B0005,74,4,train
27,NASA_B0030,33,0,train
28,NASA_B0036,198,2,train
29,NASA_B0007,83,0,train
30,NASA_B0005,74,2,train
31,NASA_B0018,63,2,validation
32,NASA_B0036,198,1,train
33,NASA_B0043,16,0,train
34,NASA_B0018,63,0,train
35,NASA_B0043,16,0,train
36,NASA_B0006,66,1,train
37,NASA_B0040,35,0,train
38,NASA_B0007,83,0,train
39,NASA_B0040,35,2,train
40,NASA_B0006,66,0,train
41,NASA_B0040,35,3,validation
42,NASA_B0030,33,0,train
43,NASA_B0030,33,0,validation
44,NASA_B0030,33,0,train
45,NASA_B0030,33,0,train
46,NASA_B0018,63,2,train
47,NASA_B0007,83,0,train
48,NASA_B0030,33,0,train
49,NASA_B0040,35,0,train
50,NASA_B0040,35,1,test
51,NASA_B0006,66,0,train
52,NASA_B0005,74,0,train
53,NASA_B0043,16,0,train
54,NASA_B0043,16,0,train
55,NASA_B0018,63,0,train
56,NASA_B0005,74,2,train
57,NASA_B0036,198,3,train
58,NASA_B0018,63,2,train
59,NASA_B0018,63,0,train
60,NASA_B0007,83,0,train
61,NASA_B0030,33,0,train
62,NASA_B0005,74,0,test
63,NASA_B0006,66,1,train
64,NASA_B0006,66,1,train
65,NASA_B0043,16,0,train
66,NASA_B0006,66,1,train
67,NASA_B0040,35,3,train
68,NASA_B0043,16,0,test
69,NASA_B0043,16,0,train
70,NASA_B0005,74,0,train
71,NASA_B0018,63,0,test
72,NASA_B0030,33,0,train
73,NASA_B0040,35,4,train
74,NASA_B0018,63,1,train
75,NASA_B0043,16,0,train
