dataset,definition,rho,units_reaching_eol,family_selected,note,fitting_units_passing_guard,same_family_as_declared_fit,T_median,T_q25,T_q75,q1_bar,theta_a_median,theta_b_median,theta_c_median,theta_d_median,theta_y0_median,theta_m_o_median,theta_N_k_median,theta_delta_median,theta_m_f_median
MATR,r2,0.7,0,,not fittable: ValueError,,,,,,,,,,,,,,,
MATR,r2,0.75,29,two_term_exponential,,95.0,True,513.0,486.0,529.0,1.0746564020979057,1.003071709682482,-0.04278684621338705,-0.000514071149254864,11.811038587781331,,,,,
MATR,r2,0.8,90,two_term_exponential,,95.0,True,770.5,509.0,996.75,1.0746564020979057,1.0027637590747847,-0.035078054353477384,-0.00012740823150652613,9.655789484584595,,,,,
MATR,r2,0.85,93,two_term_exponential,,95.0,True,727.0,469.0,953.0,1.0746564020979057,1.0031497332037218,-0.04133126379254305,-8.307856185113257e-05,10.583906069033342,,,,,
MATR,r2,0.9,95,two_term_exponential,,95.0,True,683.0,421.5,872.0,1.0746564020979057,1.0027778201812763,-0.03497819917814319,-0.00016183055954164627,8.423848611731747,,,,,
MATR,r1,0.7,0,,not fittable: ValueError,,,,,,,,,,,,,,,
MATR,r1,0.75,0,,not fittable: ValueError,,,,,,,,,,,,,,,
MATR,r1,0.8,31,two_term_exponential,,95.0,True,498.0,473.5,520.5,1.0702973440559442,1.0073877177292403,-0.04630838309563999,-0.000342947494141481,12.394168522352048,,,,,
MATR,r1,0.85,92,two_term_exponential,,95.0,True,756.0,487.5,971.0,1.0702973440559442,1.006051169070366,-0.03576959836588307,-0.00012194099893679132,9.9578479427941,,,,,
MATR,r1,0.9,95,two_term_exponential,,95.0,True,737.0,451.5,917.5,1.0702973440559442,1.0059896698060875,-0.03767137269730785,-8.752358897142833e-05,10.033008328848268,,,,,
HUST,r2,0.7,0,,not fittable: ValueError,,,,,,,,,,,,,,,
HUST,r2,0.75,0,,not fittable: ValueError,,,,,,,,,,,,,,,
HUST,r2,0.8,54,rollover,,54.0,True,1860.5,1656.25,2161.75,1.1921709858326897,,,,,0.994497333090687,-0.05914425398934563,1.310316967978344,0.20972053392876572,-0.32929863968846534
HUST,r2,0.85,54,rollover,,54.0,True,1705.5,1520.0,1967.25,1.1921709858326897,,,,,0.9942271341512455,-0.05844879531465725,1.3666957854880617,0.21733308826584422,-0.3456704066072289
HUST,r2,0.9,54,rollover,,54.0,True,1533.5,1349.5,1757.0,1.1921709858326897,,,,,0.9943065065759722,-0.059357884286314756,1.3292686634425865,0.2149293204939906,-0.31989876776574855
HUST,r1,0.7,0,,not fittable: ValueError,,,,,,,,,,,,,,,
HUST,r1,0.75,53,rollover,,54.0,True,1858.0,1652.0,2137.0,1.1819545401709401,,,,,0.9944092877419444,-0.05804256169538951,1.3205615231883638,0.21217483913450766,-0.3449442217881247
HUST,r1,0.8,54,rollover,,54.0,True,1676.5,1484.25,1912.75,1.1819545401709401,,,,,0.9941798899552425,-0.05752192202443089,1.3939193939218824,0.23508908314984966,-0.35134388551959456
HUST,r1,0.85,54,rollover,,54.0,True,1488.0,1295.0,1672.75,1.1819545401709401,,,,,0.9943349607757146,-0.059021496842294324,1.328466707439971,0.22813285991459797,-0.3237658244962212
HUST,r1,0.9,54,rollover,,54.0,True,1256.0,1052.25,1341.5,1.1819545401709401,,,,,0.9944602197238492,-0.06168357542487737,0.9436625892332706,0.10192200333184476,-0.15412368915597408
NASA_PCoE,r2,0.7,6,power_law,,13.0,True,102.5,53.5,120.75,1.818239968977594,2.469567009419592,0.972873234589719,,,1.0030309069437124,,,,
NASA_PCoE,r2,0.75,6,power_law,,13.0,True,76.5,44.75,93.25,1.818239968977594,5.184813784313547,1.2677849660896574,,,1.003692455708236,,,,
NASA_PCoE,r2,0.8,8,power_law,,13.0,True,61.5,31.75,76.75,1.818239968977594,4.444662894526992,1.1167274607963829,,,1.001366514945029,,,,
NASA_PCoE,r2,0.85,7,power_law,,10.0,True,54.0,30.0,62.5,1.8444447351471522,2.5163857901893665,0.9949687327931618,,,1.0013058855423727,,,,
NASA_PCoE,r2,0.9,1,power_law,,1.0,True,37.0,37.0,37.0,2.0290099826055994,0.8331635090047173,0.6068993168492557,,,1.0175697106011183,,,,
NASA_PCoE,r1,0.7,4,rollover,,13.0,False,72.5,37.5,120.25,1.818239968977594,,,,,1.006110425333071,-1.7890221129846813,0.03248048526290194,0.005000000000000001,-2.577155837933998
NASA_PCoE,r1,0.75,6,power_law,,13.0,True,85.5,47.25,120.0,1.818239968977594,3.7534502790502753,1.1947484022129393,,,1.0033075080865888,,,,
NASA_PCoE,r1,0.8,6,power_law,,13.0,True,68.5,44.5,97.0,1.818239968977594,3.9399508391937195,1.2021675050032488,,,1.0025268244430183,,,,
NASA_PCoE,r1,0.85,6,power_law,,13.0,True,57.0,41.75,75.25,1.818239968977594,14.071055443930199,1.4999644845028792,,,1.0032918776515374,,,,
NASA_PCoE,r1,0.9,9,power_law,,13.0,True,33.0,32.0,64.0,1.818239968977594,3.0907317621207917,1.0523626727492685,,,1.0022137943846094,,,,
