model,generation_seed,model_seed,rmse,epochs
TRTR,,0,210.7714831816297,11
TRTR,,1,192.74169735013405,11
TRTR,,2,216.9591990447166,11
TRTR,,3,207.5301630114045,11
TRTR,,4,203.30642118743074,11
TSTR,0.0,0,307.5233218574729,13
TSTR,0.0,1,328.07194482294193,11
TSTR,0.0,2,398.11751195990666,11
TSTR,0.0,3,262.8641045603995,13
TSTR,0.0,4,314.41172515104375,15
TSTR,1.0,0,283.6875755465205,13
TSTR,1.0,1,272.0864951484687,19
TSTR,1.0,2,270.6895388193097,15
TSTR,1.0,3,339.7469777357882,11
TSTR,1.0,4,262.70161769078294,12
TSTR,2.0,0,331.1169691638484,12
TSTR,2.0,1,262.0635942173702,30
TSTR,2.0,2,287.06222276850906,14
TSTR,2.0,3,294.95462976922227,12
TSTR,2.0,4,276.0779474895288,13
