model,generation_seed,model_seed,rmse,epochs
TRTR,,0,142.1031251218474,21
TRTR,,1,194.29665283775037,13
TRTR,,2,141.4505349412763,16
TRTR,,3,130.87362353793904,13
TRTR,,4,136.57439959476267,15
TSTR,0.0,0,523.2786912089276,16
TSTR,0.0,1,828.1922790613665,33
TSTR,0.0,2,624.4615592166599,13
TSTR,0.0,3,381.4083471211234,11
TSTR,0.0,4,475.70696269128206,12
TSTR,1.0,0,439.9700468641873,11
TSTR,1.0,1,517.7639791344868,18
TSTR,1.0,2,571.6023268486566,15
TSTR,1.0,3,621.1281581598565,13
TSTR,1.0,4,449.13742917345627,11
TSTR,2.0,0,425.0044851073304,14
TSTR,2.0,1,441.08550492430123,13
TSTR,2.0,2,440.105515463226,12
TSTR,2.0,3,389.3526135722726,13
TSTR,2.0,4,416.46207069398616,20
