model,generation_seed,model_seed,rmse,epochs
TRTR,,0,17.42868728300486,11
TRTR,,1,12.471872233968117,22
TRTR,,2,16.634981881203206,11
TRTR,,3,16.850864354802606,11
TRTR,,4,16.401426059713955,11
TSTR,0.0,0,51.123716931025605,27
TSTR,0.0,1,10.438471901952408,11
TSTR,0.0,2,52.17920900935847,13
TSTR,0.0,3,9.950431096843376,41
TSTR,0.0,4,10.189054024503044,30
TSTR,1.0,0,25.82211187669378,38
TSTR,1.0,1,23.409844800553255,30
TSTR,1.0,2,24.51912716723523,27
TSTR,1.0,3,28.11188907943159,48
TSTR,1.0,4,31.070102784854473,100
TSTR,2.0,0,14.70986113123292,27
TSTR,2.0,1,5.9175258440960805,31
TSTR,2.0,2,15.127559635335105,26
TSTR,2.0,3,17.161487260769633,28
TSTR,2.0,4,20.515044418043008,34
