protocol,channel,split,cycle_life,C1,C2,C3,C4
1,1-1,Test,1504,5,1,1,1
2,1-2,Test,2678,5,1,2,1
3,1-3,Train,1858,5,1,3,1
4,1-4,Train,1500,5,1,4,1
5,1-5,Train,1971,5,1,5,1
6,1-6,Train,1143,5,2,1,1
7,1-7,Train,1678,5,2,2,1
8,1-8,Train,2285,5,2,3,1
9,2-2,Train,2651,5,2,5,1
10,2-3,Train,1751,5,3,1,1
11,2-4,Train,1499,5,3,2,1
12,2-5,Test,1386,5,3,3,1
13,2-6,Train,1572,5,3,4,1
14,2-7,Train,2202,5,3,5,1
15,2-8,Train,1481,5,4,1,1
16,3-1,Test,1938,5,4,2,1
17,3-2,Train,2283,5,4,3,1
18,3-3,Train,1649,5,4,4,1
19,3-4,Train,1766,5,4,5,1
20,3-5,Train,2657,5,5,1,1
21,3-6,Train,2491,5,5,2,1
22,3-7,Train,2479,5,5,3,1
23,3-8,Train,2342,5,5,4,1
24,4-1,Train,2217,5,5,5,1
25,4-2,Train,1782,4,1,1,1
26,4-3,Train,1142,4,1,2,1
27,4-4,Train,1491,4,1,3,1
28,4-5,Test,1561,4,1,4,1
29,4-6,Train,1380,4,1,5,1
30,4-7,Train,2216,4,2,1,1
31,4-8,Train,1706,4,2,2,1
32,5-1,Train,2507,4,2,3,1
33,5-2,Train,1926,4,2,4,1
34,5-3,Test,2689,4,2,5,1
35,5-4,Train,1962,4,3,1,1
36,5-5,Train,1583,4,3,2,1
37,5-6,Train,2460,4,3,3,1
38,5-7,Train,1448,4,3,4,1
39,6-1,Test,1609,4,4,1,1
40,6-2,Test,1908,4,4,2,1
41,6-3,Train,1804,4,4,3,1
42,6-4,Train,1717,4,4,4,1
43,6-5,Train,2178,4,4,5,1
44,6-6,Test,2468,4,5,1,1
45,6-8,Test,2450,4,5,3,1
46,7-1,Train,1690,4,5,4,1
47,7-2,Train,2030,4,5,5,1
48,7-3,Train,1295,3,1,1,1
49,7-4,Train,1393,3,1,2,1
50,7-5,Test,1875,3,1,3,1
51,7-6,Test,1419,3,1,4,1
52,7-7,Train,1685,3,1,5,1
53,7-8,Train,1938,3,2,1,1
54,8-1,Test,1308,3,2,2,1
55,8-2,Train,2041,3,2,3,1
56,8-3,Train,2290,3,2,4,1
57,8-4,Train,1885,3,2,5,1
58,8-5,Test,1348,3,3,1,1
59,8-6,Test,2365,3,3,2,1
60,8-7,Train,2047,3,3,3,1
61,8-8,Test,1679,3,3,4,1
62,9-1,Train,2057,3,3,5,1
63,9-2,Train,2143,3,4,1,1
64,9-3,Train,1905,3,4,2,1
65,9-4,Test,1975,3,4,3,1
66,9-5,Train,2168,3,4,4,1
67,9-6,Test,1742,3,4,5,1
68,9-7,Train,2012,3,5,1,1
69,9-8,Train,2308,3,5,2,1
70,10-1,Test,1702,3,5,3,1
71,10-2,Train,1697,3,5,4,1
72,10-3,Train,1848,3,5,5,1
73,10-4,Test,1811,2,4,1,1
74,10-5,Train,2030,2,5,2,1
75,10-6,Test,2285,2,3,3,1
76,10-7,Test,1783,2,2,4,1
77,10-8,Train,1400,2,1,5,1
