cell_id,n,cross_capacity_cycler_Ah,cross_capacity_integrated_Ah,documented
HUST_1-1,1504,,,1504
HUST_1-2,2678,,,2678
HUST_1-3,1858,,,1858
HUST_1-4,1500,,,1500
HUST_1-5,1971,,,1971
HUST_1-6,1143,,,1143
HUST_1-7,1678,,,1678
HUST_1-8,2285,,,2285
HUST_10-1,1702,,,1702
HUST_10-2,1697,,,1697
HUST_10-3,1848,,,1848
HUST_10-4,1811,,,1811
HUST_10-5,2030,,,2030
HUST_10-6,2285,,,2285
HUST_10-7,1783,,,1783
HUST_10-8,1400,,,1400
HUST_2-2,2651,,,2651
HUST_2-3,1751,,,1751
HUST_2-4,1499,,,1499
HUST_2-5,1386,,,1386
HUST_2-6,1572,,,1572
HUST_2-7,2202,,,2202
HUST_2-8,1481,,,1481
HUST_3-1,1938,,,1938
HUST_3-2,2283,,,2283
HUST_3-3,1649,,,1649
HUST_3-4,1766,,,1766
HUST_3-5,2657,,,2657
HUST_3-6,2491,,,2491
HUST_3-7,2479,,,2479
HUST_3-8,2342,,,2342
HUST_4-1,2217,,,2217
HUST_4-2,1782,,,1782
HUST_4-3,1142,,,1142
HUST_4-4,1491,,,1491
HUST_4-5,1561,,,1561
HUST_4-6,1380,,,1380
HUST_4-7,2216,,,2216
HUST_4-8,1706,,,1706
HUST_5-1,2507,,,2507
HUST_5-2,1926,,,1926
HUST_5-3,2689,,,2689
HUST_5-4,1962,,,1962
HUST_5-5,1583,,,1583
HUST_5-6,2460,,,2460
HUST_5-7,1448,,,1448
HUST_6-1,1609,,,1609
HUST_6-2,1908,,,1908
HUST_6-3,1804,,,1804
HUST_6-4,1717,,,1717
HUST_6-5,2178,,,2178
HUST_6-6,2468,,,2468
HUST_6-8,2450,,,2450
HUST_7-1,1690,,,1690
HUST_7-2,2030,,,2030
HUST_7-3,1295,,,1295
HUST_7-4,1393,,,1393
HUST_7-5,1873,,,1873
HUST_7-6,1419,,,1419
HUST_7-7,1685,,,1685
HUST_7-8,1938,,,1938
HUST_8-1,1308,,,1308
HUST_8-2,2041,,,2041
HUST_8-3,2290,,,2290
HUST_8-4,1885,,,1885
HUST_8-5,1348,,,1348
HUST_8-6,2365,,,2365
HUST_8-7,2047,,,2047
HUST_8-8,1679,,,1679
HUST_9-1,2057,,,2057
HUST_9-2,2143,,,2143
HUST_9-3,1905,,,1905
HUST_9-4,1975,,,1975
HUST_9-5,2168,,,2168
HUST_9-6,1742,,,1742
HUST_9-7,2012,,,2012
HUST_9-8,2308,,,2308
