cell_id,n,cross_capacity_cycler_Ah,cross_capacity_integrated_Ah,documented
MATR_b1c0,1850,,,1852.0
MATR_b1c1,2158,,,2160.0
MATR_b1c10,904,,,906.0
MATR_b1c11,786,,,788.0
MATR_b1c12,900,,,902.0
MATR_b1c13,895,,,897.0
MATR_b1c14,878,,,880.0
MATR_b1c15,717,,,719.0
MATR_b1c16,860,,,862.0
MATR_b1c17,855,,,857.0
MATR_b1c18,689,,,691.0
MATR_b1c19,786,,,788.0
MATR_b1c2,2235,,,2237.0
MATR_b1c20,532,,,534.0
MATR_b1c21,557,,,559.0
MATR_b1c22,889,,,891.0
MATR_b1c23,1012,,,1014.0
MATR_b1c24,1015,,,1017.0
MATR_b1c25,852,,,854.0
MATR_b1c26,868,,,870.0
MATR_b1c27,840,,,842.0
MATR_b1c28,858,,,860.0
MATR_b1c29,915,,,917.0
MATR_b1c3,1432,,,1434.0
MATR_b1c30,707,,,709.0
MATR_b1c31,874,,,876.0
MATR_b1c32,729,,,731.0
MATR_b1c33,755,,,757.0
MATR_b1c34,740,,,742.0
MATR_b1c35,701,,,703.0
MATR_b1c36,702,,,704.0
MATR_b1c37,646,,,648.0
MATR_b1c38,615,,,617.0
MATR_b1c39,623,,,625.0
MATR_b1c4,1707,,,1709.0
MATR_b1c40,964,,,966.0
MATR_b1c41,1049,,,1051.0
MATR_b1c42,700,,,702.0
MATR_b1c43,649,,,651.0
MATR_b1c44,614,,,616.0
MATR_b1c45,597,,,599.0
MATR_b1c5,1072,,,1074.0
MATR_b1c6,634,,,636.0
MATR_b1c7,868,,,870.0
MATR_b1c8,877,,,879.0
MATR_b1c9,1052,,,1054.0
MATR_b2c0,325,299.0,299.0,300.0
MATR_b2c1,169,147.0,147.0,148.0
MATR_b2c10,595,560.0,560.0,561.0
MATR_b2c11,504,476.0,476.0,477.0
MATR_b2c12,490,457.0,457.0,458.0
MATR_b2c13,519,482.0,482.0,483.0
MATR_b2c14,508,484.0,484.0,485.0
MATR_b2c17,524,493.0,493.0,494.0
MATR_b2c18,522,486.0,486.0,487.0
MATR_b2c19,488,460.0,460.0,461.0
MATR_b2c2,463,437.0,437.0,438.0
MATR_b2c20,530,501.0,501.0,502.0
MATR_b2c21,519,488.0,488.0,489.0
MATR_b2c22,539,512.0,512.0,513.0
MATR_b2c23,561,526.0,526.0,527.0
MATR_b2c24,523,494.0,494.0,495.0
MATR_b2c25,486,460.0,460.0,461.0
MATR_b2c26,497,470.0,470.0,471.0
MATR_b2c27,494,467.0,467.0,468.0
MATR_b2c28,540,508.0,508.0,509.0
MATR_b2c29,521,497.0,497.0,498.0
MATR_b2c3,360,334.0,334.0,335.0
MATR_b2c30,506,480.0,480.0,481.0
MATR_b2c31,518,491.0,491.0,492.0
MATR_b2c32,543,518.0,518.0,519.0
MATR_b2c33,545,519.0,519.0,520.0
MATR_b2c34,525,498.0,498.0,499.0
MATR_b2c35,485,462.0,462.0,463.0
MATR_b2c36,559,534.0,534.0,535.0
MATR_b2c37,501,477.0,477.0,478.0
MATR_b2c38,486,464.0,464.0,465.0
MATR_b2c39,479,458.0,458.0,459.0
MATR_b2c4,470,443.0,443.0,444.0
MATR_b2c40,529,498.0,498.0,499.0
MATR_b2c41,451,428.0,428.0,429.0
MATR_b2c42,491,465.0,465.0,466.0
MATR_b2c43,486,461.0,461.0,462.0
MATR_b2c44,478,456.0,456.0,457.0
MATR_b2c45,513,486.0,486.0,487.0
MATR_b2c46,448,428.0,428.0,429.0
MATR_b2c47,744,712.0,712.0,713.0
MATR_b2c5,506,479.0,479.0,480.0
MATR_b2c6,544,510.0,510.0,511.0
MATR_b3c0,1007,,,1009.0
MATR_b3c1,1061,,,1063.0
MATR_b3c10,1076,,,1078.0
MATR_b3c11,815,,,817.0
MATR_b3c12,930,,,932.0
MATR_b3c13,814,,,816.0
MATR_b3c14,856,,,858.0
MATR_b3c15,874,,,876.0
MATR_b3c16,1636,,,1638.0
