cell_id,n,cross_capacity_cycler_Ah,cross_capacity_integrated_Ah,documented
NASA_B0005,168,125.0,126.0,168.0
NASA_B0006,168,109.0,113.0,168.0
NASA_B0007,168,,,
NASA_B0018,132,97.0,101.0,132.0
NASA_B0025,28,,,
NASA_B0026,28,6.0,,
NASA_B0027,28,,,
NASA_B0028,28,,,
NASA_B0029,40,,,
NASA_B0030,40,,,
NASA_B0031,40,,,
NASA_B0032,40,,,
NASA_B0033,197,1.0,1.0,
NASA_B0034,197,1.0,1.0,
NASA_B0036,197,1.0,1.0,
NASA_B0038,47,1.0,1.0,
NASA_B0039,47,1.0,1.0,
NASA_B0040,47,1.0,1.0,
NASA_B0041,64,1.0,1.0,
NASA_B0042,109,6.0,42.0,
NASA_B0043,109,6.0,42.0,
NASA_B0044,109,6.0,42.0,
NASA_B0045,72,1.0,1.0,
NASA_B0046,72,17.0,20.0,
NASA_B0047,72,10.0,16.0,
NASA_B0048,72,12.0,12.0,
NASA_B0049,25,1.0,1.0,
NASA_B0050,21,1.0,1.0,
NASA_B0051,25,1.0,1.0,
NASA_B0052,4,1.0,1.0,
NASA_B0053,55,1.0,1.0,
NASA_B0054,102,1.0,1.0,
NASA_B0055,102,1.0,1.0,
NASA_B0056,102,1.0,1.0,
