cell_id,n_stored,n_kept,n_dropped_by_cleaning,too_short,q1,q1_first,q1_material_diff,denominator,excluded_by_guard,T,q1_k20,T_r2_rho0.80,guard_r2_rho0.80,T_r1_rho0.80,guard_r1_rho0.80,fit_end,monotone_violation_Ah,monotone_within_tol,rmse_power_law,rmse_two_term_exponential,rmse_rollover,best_family_in_sample,n_pos_k2.5_m2,n_neg_k2.5_m2,residual_scale_Ah,option,dataset
MATR_b1c0,1850,1850,0,False,1.1709935890442928,1.1293408293706293,True,0.29099358904429273,False,1850.0,1.1709935890442928,1850.0,False,1790.0,False,1850.0,0.14934520666667006,False,0.011110223140033801,0.010404253281285789,0.010051210441130722,rollover,0.0,19.0,0.0032915456149151035,none,MATR
MATR_b1c1,2158,2158,0,False,1.082415053379957,1.0761058349650348,False,0.2024150533799569,False,2158.0,1.082415053379957,2158.0,False,,False,2158.0,0.0063092184149222685,True,0.006167853183771377,0.001880229249898703,0.0018246387043820043,rollover,9.0,7.0,0.0014816934050293595,none,MATR
MATR_b1c10,904,904,0,False,1.0817832839160877,1.0759630258741262,False,0.20178328391608757,False,,1.0817832839160877,,False,,False,904.0,0.00683768694639042,True,0.0031283453933002325,0.0010930091045697333,0.0010981980426167778,two_term_exponential,0.0,3.0,0.0008739831644032777,none,MATR
MATR_b1c11,786,786,0,False,1.0602274261072295,1.0546187083916083,False,0.18022742610722942,False,786.0,1.0602274261072295,786.0,False,,False,786.0,0.006528015850819413,True,0.003014238373860222,0.0020823262142834085,0.001245609679209395,rollover,3.0,3.0,0.0010474709807809393,none,MATR
MATR_b1c12,900,900,0,False,1.0821912965035,1.077824060839161,False,0.20219129650349998,False,,1.0821912965035,,False,,False,900.0,0.005363379953383429,True,0.003072442319016216,0.0009644153155268261,0.0008926180301830758,rollover,2.0,3.0,0.0007113869259259437,none,MATR
MATR_b1c13,895,895,0,False,1.0845483827505866,1.0801282853146852,False,0.2045483827505865,False,,1.0845483827505866,,False,,False,895.0,0.005417631934735656,True,0.0038973943384713336,0.0010397891299835306,0.0010412690113000187,two_term_exponential,0.0,1.0,0.0011036220114528444,none,MATR
MATR_b1c14,878,878,0,False,1.0757307463869499,1.0710733531468528,False,0.19573074638694976,False,878.0,1.0757307463869499,878.0,False,,False,878.0,0.006565865501169554,True,0.0035775022817385537,0.00272155257064251,0.0015954573464578676,rollover,0.0,1.0,0.001567047014818831,none,MATR
MATR_b1c15,717,717,0,False,1.0672611046620082,1.0614584069930066,False,0.18726110466200807,False,717.0,1.0672611046620082,717.0,False,,False,717.0,0.007683305361309012,True,0.0037715469048138278,0.0024308579107549886,0.0014867217616815142,rollover,0.0,2.0,0.0014912863305174523,none,MATR
MATR_b1c16,860,860,0,False,1.0861273305361343,1.081395756643357,False,0.2061273305361342,False,860.0,1.0861273305361343,860.0,False,,False,860.0,0.006865880885784215,True,0.004563985571692804,0.0023107481377794437,0.0015021716885673868,rollover,0.0,1.0,0.0012876016797587723,none,MATR
MATR_b1c17,855,855,0,False,1.077031979254083,1.0723514405594405,False,0.1970319792540829,False,855.0,1.077031979254083,855.0,False,,False,855.0,0.00661925664336005,True,0.003361741066932507,0.0022446266693100926,0.0014604609287525102,rollover,6.0,2.0,0.0011893816496160931,none,MATR
MATR_b1c18,689,689,0,False,1.070131970396274,1.0661330188811189,False,0.19013197039627383,False,689.0,1.070131970396274,689.0,False,,False,689.0,0.5285479888111904,False,0.06543684055281362,0.06445150589516682,0.06439792877606922,rollover,0.0,1.0,0.005357071330567826,none,MATR
MATR_b1c19,786,786,0,False,1.0891354750582787,1.0854258202797202,False,0.20913547505827856,False,786.0,1.0891354750582787,786.0,False,,False,786.0,0.0037096547785584466,True,0.004051762476833109,0.002659944234218817,0.001176408133877896,rollover,0.0,2.0,0.0013391369263752314,none,MATR
MATR_b1c2,2235,2235,0,False,1.0860130920745956,1.0808158895104898,False,0.2060130920745955,False,2235.0,1.0860130920745956,2235.0,False,,False,2235.0,0.03014882855477863,False,0.006279450574831675,0.002877902738789804,0.002871002249849341,rollover,0.0,6.0,0.002025717737464776,none,MATR
MATR_b1c20,532,532,0,False,1.0762344988345025,1.0729113167832167,False,0.1962344988345024,False,532.0,1.0762344988345025,532.0,False,,False,532.0,0.003323182051285789,True,0.00436037594638865,0.0017457360260753289,0.001689870540009715,rollover,0.0,2.0,0.0018916319076867684,none,MATR
MATR_b1c21,557,557,0,False,1.086218375291379,1.0827725083916084,False,0.20621837529137887,False,557.0,1.086218375291379,557.0,False,,False,557.0,0.0034458668997705555,True,0.006451376389044466,0.0015757923412588056,0.0015319421357306662,rollover,0.0,3.0,0.0015310362100581577,none,MATR
MATR_b1c22,889,889,0,False,1.0836297538461572,1.0796626181818183,False,0.2036297538461571,False,,1.0836297538461572,,False,,False,889.0,0.0042550440559474545,True,0.00269548814884713,0.0008457545464465347,0.0008610169093281331,two_term_exponential,0.0,1.0,0.0009274739939505106,none,MATR
MATR_b1c23,1012,1012,0,False,1.0831145179487216,1.0796933706293703,False,0.20311451794872148,False,1012.0,1.0831145179487216,1012.0,False,,False,1012.0,0.003696843123547122,True,0.0037705762181910996,0.0011656775714934979,0.0010471360455557744,rollover,0.0,1.0,0.0011813050953470594,none,MATR
MATR_b1c24,1015,1015,0,False,1.078371781585085,1.0747819678321677,False,0.19837178158508495,False,1015.0,1.078371781585085,1015.0,False,,False,1015.0,0.004109709090912794,True,0.0037387248997966496,0.0013479284990525215,0.001054300847100045,rollover,0.0,3.0,0.0010530213132667573,none,MATR
MATR_b1c25,852,852,0,False,1.0793122790209826,1.0755278615384611,False,0.19931227902098247,False,852.0,1.0793122790209826,852.0,False,,False,852.0,0.004211274825178801,True,0.002869749162552406,0.002141323359745248,0.0010075610549361686,rollover,0.0,3.0,0.0009497692705916159,none,MATR
MATR_b1c26,868,868,0,False,1.091463445454549,1.0879792692307695,False,0.21146344545454898,False,868.0,1.091463445454549,868.0,False,,False,868.0,0.003553378787882311,True,0.0034885789279912186,0.001503410319244795,0.0008531343355524939,rollover,6.0,4.0,0.0006827543321659205,none,MATR
MATR_b1c27,840,840,0,False,1.08276243636364,1.0793470111888113,False,0.20276243636363978,False,840.0,1.08276243636364,840.0,False,,False,840.0,0.0035799298368333066,True,0.003481984473845802,0.0012064634835926194,0.0007438391310051651,rollover,0.0,2.0,0.000672943428291275,none,MATR
MATR_b1c28,858,858,0,False,1.0811753869463905,1.0781334916083913,False,0.20117538694639037,False,858.0,1.0811753869463905,858.0,False,,False,858.0,0.0032806785547825346,True,0.0033392316712155946,0.0026527064922566134,0.0012209558824581089,rollover,0.0,2.0,0.0012562761104461943,none,MATR
MATR_b1c29,915,915,0,False,1.0832527911421947,1.0797808335664336,False,0.20325279114219463,False,915.0,1.0832527911421947,915.0,False,,False,915.0,0.003859194172497693,True,0.0037500862648891333,0.001953585024420946,0.0010262198788614275,rollover,0.0,2.0,0.0009111806550249819,none,MATR
MATR_b1c3,1432,1432,0,False,1.0849810657342693,1.0800317251748255,False,0.20498106573426922,False,1432.0,1.0849810657342693,1432.0,False,,False,1432.0,0.005979675524478756,True,0.004595302964441968,0.003469172006169641,0.0016571421709353092,rollover,4.0,4.0,0.0013217467904305758,none,MATR
MATR_b1c30,707,707,0,False,1.0838315762237798,1.080224300699301,False,0.20383157622377968,False,707.0,1.0838315762237798,707.0,False,,False,707.0,0.0036072755244787036,True,0.004532134273405536,0.0020730953460518366,0.0009077864785103569,rollover,0.0,1.0,0.0010164006056517007,none,MATR
