dataset,cell_id,N,documented,T_a,T_b,T_c,T_d
MATR,MATR_b1c0,1850,1852.0,,1845.0,1850.0,1680.0
MATR,MATR_b1c1,2158,2160.0,,2142.0,2158.0,1994.0
MATR,MATR_b1c10,904,906.0,,,,
MATR,MATR_b1c11,786,788.0,,784.0,786.0,727.0
MATR,MATR_b1c12,900,902.0,,,,877.0
MATR,MATR_b1c13,895,897.0,,,,882.0
MATR,MATR_b1c14,878,880.0,,874.0,878.0,813.0
MATR,MATR_b1c15,717,719.0,,717.0,717.0,668.0
MATR,MATR_b1c16,860,862.0,,858.0,860.0,810.0
MATR,MATR_b1c17,855,857.0,,855.0,855.0,799.0
MATR,MATR_b1c18,689,691.0,,685.0,689.0,34.0
MATR,MATR_b1c19,786,788.0,,783.0,786.0,726.0
MATR,MATR_b1c2,2235,2237.0,,2230.0,2235.0,2098.0
MATR,MATR_b1c20,532,534.0,,530.0,532.0,475.0
MATR,MATR_b1c21,557,559.0,557.0,556.0,557.0,523.0
MATR,MATR_b1c22,889,891.0,,,,
MATR,MATR_b1c23,1012,1014.0,,1009.0,1012.0,953.0
MATR,MATR_b1c24,1015,1017.0,,1012.0,1015.0,948.0
MATR,MATR_b1c25,852,854.0,,849.0,852.0,790.0
MATR,MATR_b1c26,868,870.0,,865.0,868.0,815.0
MATR,MATR_b1c27,840,842.0,,838.0,840.0,791.0
MATR,MATR_b1c28,858,860.0,,854.0,858.0,792.0
MATR,MATR_b1c29,915,917.0,,911.0,915.0,849.0
MATR,MATR_b1c3,1432,1434.0,,1422.0,1432.0,1301.0
MATR,MATR_b1c30,707,709.0,,705.0,707.0,665.0
MATR,MATR_b1c31,874,876.0,,872.0,874.0,823.0
MATR,MATR_b1c32,729,731.0,,726.0,729.0,675.0
MATR,MATR_b1c33,755,757.0,755.0,751.0,755.0,702.0
MATR,MATR_b1c34,740,742.0,,739.0,740.0,697.0
MATR,MATR_b1c35,701,703.0,,699.0,701.0,652.0
MATR,MATR_b1c36,702,704.0,,701.0,702.0,652.0
MATR,MATR_b1c37,646,648.0,,646.0,646.0,603.0
MATR,MATR_b1c38,615,617.0,,612.0,615.0,573.0
MATR,MATR_b1c39,623,625.0,623.0,620.0,623.0,580.0
MATR,MATR_b1c4,1707,1709.0,,1697.0,1707.0,1570.0
MATR,MATR_b1c40,964,966.0,,961.0,964.0,901.0
MATR,MATR_b1c41,1049,1051.0,,1046.0,1049.0,980.0
MATR,MATR_b1c42,700,702.0,,697.0,700.0,644.0
MATR,MATR_b1c43,649,651.0,,647.0,649.0,601.0
MATR,MATR_b1c44,614,616.0,,611.0,614.0,562.0
MATR,MATR_b1c45,597,599.0,,595.0,597.0,551.0
MATR,MATR_b1c5,1072,1074.0,,1069.0,1072.0,1019.0
MATR,MATR_b1c6,634,636.0,,632.0,634.0,601.0
MATR,MATR_b1c7,868,870.0,,865.0,868.0,813.0
MATR,MATR_b1c8,877,879.0,,,,
MATR,MATR_b1c9,1052,1054.0,,1049.0,1052.0,995.0
MATR,MATR_b2c0,325,300.0,299.0,297.0,299.0,248.0
MATR,MATR_b2c1,169,148.0,147.0,145.0,147.0,119.0
MATR,MATR_b2c10,595,561.0,560.0,557.0,560.0,509.0
MATR,MATR_b2c11,504,477.0,476.0,474.0,476.0,439.0
MATR,MATR_b2c12,490,458.0,457.0,454.0,457.0,411.0
MATR,MATR_b2c13,519,483.0,482.0,479.0,482.0,442.0
MATR,MATR_b2c14,508,485.0,484.0,482.0,484.0,455.0
MATR,MATR_b2c17,524,494.0,493.0,490.0,493.0,460.0
MATR,MATR_b2c18,522,487.0,486.0,483.0,486.0,446.0
MATR,MATR_b2c19,488,461.0,461.0,459.0,461.0,420.0
MATR,MATR_b2c2,463,438.0,437.0,435.0,437.0,411.0
MATR,MATR_b2c20,530,502.0,501.0,498.0,501.0,467.0
MATR,MATR_b2c21,519,489.0,488.0,486.0,488.0,456.0
MATR,MATR_b2c22,539,513.0,512.0,509.0,512.0,479.0
MATR,MATR_b2c23,561,527.0,526.0,523.0,526.0,487.0
MATR,MATR_b2c24,523,495.0,494.0,492.0,494.0,462.0
MATR,MATR_b2c25,486,461.0,460.0,458.0,460.0,430.0
MATR,MATR_b2c26,497,471.0,470.0,468.0,470.0,438.0
MATR,MATR_b2c27,494,468.0,467.0,465.0,467.0,436.0
MATR,MATR_b2c28,540,509.0,510.0,507.0,510.0,477.0
MATR,MATR_b2c29,521,498.0,497.0,494.0,497.0,468.0
MATR,MATR_b2c3,360,335.0,334.0,332.0,334.0,286.0
MATR,MATR_b2c30,506,481.0,480.0,478.0,480.0,450.0
MATR,MATR_b2c31,518,492.0,491.0,489.0,491.0,461.0
MATR,MATR_b2c32,543,519.0,518.0,515.0,518.0,487.0
MATR,MATR_b2c33,545,520.0,519.0,517.0,519.0,489.0
MATR,MATR_b2c34,525,499.0,498.0,496.0,498.0,469.0
MATR,MATR_b2c35,485,463.0,462.0,460.0,462.0,436.0
MATR,MATR_b2c36,559,535.0,533.0,531.0,533.0,502.0
MATR,MATR_b2c37,501,478.0,478.0,476.0,478.0,450.0
MATR,MATR_b2c38,486,465.0,464.0,462.0,464.0,439.0
MATR,MATR_b2c39,479,459.0,458.0,456.0,458.0,433.0
MATR,MATR_b2c4,470,444.0,443.0,441.0,443.0,406.0
MATR,MATR_b2c40,529,499.0,498.0,496.0,498.0,463.0
MATR,MATR_b2c41,451,429.0,428.0,427.0,428.0,403.0
MATR,MATR_b2c42,491,466.0,465.0,462.0,465.0,434.0
MATR,MATR_b2c43,486,462.0,461.0,459.0,461.0,430.0
MATR,MATR_b2c44,478,457.0,456.0,454.0,456.0,429.0
MATR,MATR_b2c45,513,487.0,485.0,483.0,485.0,456.0
MATR,MATR_b2c46,448,429.0,429.0,427.0,429.0,407.0
MATR,MATR_b2c47,744,713.0,712.0,708.0,712.0,653.0
MATR,MATR_b2c5,506,480.0,479.0,477.0,479.0,448.0
MATR,MATR_b2c6,544,511.0,510.0,506.0,510.0,434.0
MATR,MATR_b3c0,1007,1009.0,,1004.0,1007.0,961.0
MATR,MATR_b3c1,1061,1063.0,,1057.0,1061.0,996.0
MATR,MATR_b3c10,1076,1078.0,,1071.0,1076.0,1004.0
MATR,MATR_b3c11,815,817.0,,813.0,815.0,767.0
MATR,MATR_b3c12,930,932.0,,928.0,930.0,884.0
MATR,MATR_b3c13,814,816.0,,812.0,814.0,767.0
MATR,MATR_b3c14,856,858.0,,854.0,856.0,814.0
MATR,MATR_b3c15,874,876.0,,871.0,874.0,823.0
MATR,MATR_b3c16,1636,1638.0,,1628.0,1636.0,1506.0
MATR,MATR_b3c17,1313,1315.0,,1308.0,1313.0,1213.0
MATR,MATR_b3c18,1144,1146.0,1144.0,1138.0,1144.0,1057.0
MATR,MATR_b3c19,1153,1155.0,1153.0,1147.0,1153.0,1066.0
MATR,MATR_b3c2,1265,1267.0,,1257.0,1265.0,1160.0
MATR,MATR_b3c20,811,813.0,,809.0,811.0,772.0
MATR,MATR_b3c21,770,772.0,,768.0,770.0,699.0
MATR,MATR_b3c22,1000,1002.0,,999.0,1000.0,964.0
MATR,MATR_b3c23,2188,,,,,
MATR,MATR_b3c24,823,825.0,,821.0,823.0,782.0
MATR,MATR_b3c25,987,989.0,,986.0,987.0,940.0
MATR,MATR_b3c26,1026,1028.0,,1022.0,1026.0,960.0
MATR,MATR_b3c27,848,850.0,848.0,845.0,848.0,798.0
MATR,MATR_b3c28,539,541.0,,536.0,539.0,449.0
MATR,MATR_b3c29,856,858.0,,853.0,856.0,806.0
MATR,MATR_b3c3,1113,1115.0,,1109.0,1113.0,1044.0
MATR,MATR_b3c30,933,935.0,,931.0,933.0,891.0
MATR,MATR_b3c31,729,731.0,,727.0,729.0,694.0
MATR,MATR_b3c32,2236,,,,,
MATR,MATR_b3c33,1282,1284.0,,1279.0,1282.0,1214.0
MATR,MATR_b3c34,1156,1158.0,,1152.0,1156.0,1067.0
MATR,MATR_b3c35,1091,1093.0,,1086.0,1091.0,1008.0
MATR,MATR_b3c36,921,923.0,,920.0,921.0,886.0
MATR,MATR_b3c37,1388,1390.0,,1385.0,1388.0,1309.0
MATR,MATR_b3c38,1933,1935.0,1933.0,1926.0,1933.0,1810.0
MATR,MATR_b3c39,1154,1156.0,,1152.0,1154.0,1100.0
MATR,MATR_b3c4,1046,1048.0,1046.0,1041.0,1046.0,977.0
MATR,MATR_b3c40,794,796.0,,792.0,794.0,747.0
MATR,MATR_b3c41,784,786.0,,782.0,784.0,734.0
MATR,MATR_b3c42,1640,1642.0,,1633.0,1640.0,1527.0
MATR,MATR_b3c43,1044,1046.0,,1041.0,1044.0,993.0
MATR,MATR_b3c44,938,940.0,,936.0,938.0,902.0
MATR,MATR_b3c45,1799,1801.0,,1790.0,1799.0,1673.0
MATR,MATR_b3c5,826,828.0,,824.0,826.0,779.0
