dataset,cell_id,a_n_pos,a_n_neg,a_early50,a_long,a_amp_abs_mAh_median,a_dur_median,b_n_pos,b_n_neg,b_early50,b_long,b_amp_abs_mAh_median,b_dur_median,c_n_pos,c_n_neg,c_early50,c_long,c_amp_abs_mAh_median,c_dur_median,reaches_eol,a_recall,a_amp_ratio_median,a_extra,b_recall,b_amp_ratio_median,b_extra,c_recall,c_amp_ratio_median,c_extra
MATR,MATR_b1c0,0,25,0,0,21.585603142877556,2.0,0,25,0,0,21.723705975513063,2.0,0,25,0,0,21.723705975513063,2.0,True,1.0,0.95874735257677,-3.0,1.0,0.9554253905593422,-3.0,1.0,0.9554253905593422,-3.0
MATR,MATR_b1c1,9,7,1,1,4.320093731907733,3.0,8,7,0,1,4.2756246047279625,2.0,8,6,0,0,4.244787366603954,2.0,True,0.8,0.9778643065927164,0.0,0.8,1.0073389625246025,0.0,0.8,1.0073389625246025,0.0
MATR,MATR_b1c10,0,3,2,0,8.165004554430238,7.0,2,2,1,0,2.465055276054204,3.5,2,2,1,0,2.465055276054204,3.5,False,1.0,0.9380664736683123,0.0,1.0,0.9344919606941371,0.0,1.0,0.9344919606941371,0.0
MATR,MATR_b1c11,3,3,2,0,3.559291983941121,5.0,4,7,1,3,2.212540264607683,3.0,3,5,0,0,2.0783653611546193,2.0,True,0.8,0.8903513384058936,-4.0,1.0,0.9357707311048964,-1.0,1.0,0.9357707311048964,2.0
MATR,MATR_b1c12,2,3,1,1,2.6491496059205235,3.0,4,3,1,0,1.9262958804132388,5.0,4,3,1,0,1.9262958804132388,5.0,False,1.0,0.7705339622505186,-1.0,1.0,0.7890659129705101,0.0,1.0,0.7890659129705101,0.0
MATR,MATR_b1c13,0,1,1,0,6.996491801771255,9.0,1,0,0,0,2.9399347909687004,2.0,1,0,0,0,2.9399347909687004,2.0,False,1.0,0.8607530970020082,0.0,1.0,0.8440118200747493,-1.0,1.0,0.8440118200747493,-1.0
MATR,MATR_b1c14,0,1,1,1,9.077506041025439,17.0,0,1,1,0,4.536094760897354,10.0,0,1,1,0,4.536094760897354,10.0,True,1.0,1.0014592711023182,0.0,1.0,0.9834019965561615,0.0,1.0,0.9834019965561615,0.0
MATR,MATR_b1c15,0,2,2,0,9.056000841819477,6.5,2,1,1,0,3.3076994106914714,3.0,2,1,1,0,3.3076994106914714,3.0,True,1.0,0.9550436548135621,0.0,1.0,0.927127493686157,-1.0,1.0,0.927127493686157,-2.0
MATR,MATR_b1c16,0,1,1,1,8.709346615521937,18.0,1,1,1,0,3.456121808971164,4.5,1,1,1,0,3.456121808971164,4.5,True,0.8,1.04269584055673,1.0,1.0,1.0315305436900326,-1.0,1.0,1.0315305436900326,-1.0
MATR,MATR_b1c17,6,2,1,1,3.415809323410078,3.0,4,2,1,0,3.254144920219559,2.0,4,2,1,0,3.254144920219559,2.0,True,1.0,0.9847565722647229,-1.0,1.0,0.9412730477276515,-5.0,1.0,0.9412730477276515,-5.0
